,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,FCO2,FCO2_FLAG_W,FCO2TMP,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,THETA
269,  33LG20060321,  SR01,15.0,1.0,270.0,8.0,2.0,20060326.0,1639.0,-59.978,-63.312, 3865,    504.8,   2.1500,  34.6290,2.0,  34.6290,2.0,    177.8,2.0,    65.29,2.0,    27.92,2.0,     0.02,2.0,     2.30,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   2.1210
270,  33LG20060321,  SR01,15.0,1.0,271.0,9.0,2.0,20060326.0,1642.0,-59.978,-63.312, 3865,    403.0,   2.1600,  34.5860,2.0,  34.5900,2.0,    178.0,2.0,    64.32,2.0,    27.52,2.0,     0.02,2.0,     2.30,2.0,   2254.5,2.0,    605.6,2.0,     2.16,   -999.0,9.0,   -999.0,  -999.00,9.0,   2.1372
271,  33LG20060321,  SR01,15.0,1.0,272.0,10.0,2.0,20060326.0,1644.0,-59.978,-63.312, 3865,    303.1,   2.0900,  34.5180,2.0,  34.5170,2.0,    183.9,2.0,    62.57,2.0,    30.62,2.0,     0.03,2.0,     2.35,2.0,   2251.6,2.0,    612.8,2.0,     2.09,   -999.0,9.0,   -999.0,     0.38,2.0,   2.0733
272,  33LG20060321,  SR01,15.0,1.0,273.0,11.0,2.0,20060326.0,1647.0,-59.978,-63.312, 3865,    252.3,   2.0400,  34.4510,2.0,  34.4540,2.0,    190.6,2.0,    57.71,2.0,    30.72,2.0,     0.02,2.0,     2.44,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   2.0264
273,  33LG20060321,  SR01,15.0,1.0,274.0,12.0,2.0,20060326.0,1649.0,-59.978,-63.312, 3865,    200.3,   1.7300,  34.3620,2.0,  34.3620,2.0,    212.8,2.0,    50.71,2.0,    30.21,2.0,     0.03,2.0,     2.35,2.0,   2235.7,2.0,    587.9,2.0,     1.73,   -999.0,9.0,   -999.0,     0.53,2.0,   1.7198
274,  33LG20060321,  SR01,15.0,1.0,275.0,13.0,2.0,20060326.0,1651.0,-59.978,-63.312, 3865,    152.2,   1.1200,  34.2440,2.0,  34.2400,2.0,    249.3,2.0,    44.19,2.0,    28.30,2.0,     0.06,2.0,     2.28,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   1.1131
275,  33LG20060321,  SR01,15.0,1.0,276.0,14.0,2.0,20060326.0,1654.0,-59.978,-63.312, 3865,    100.5,  -0.6400,  34.0200,2.0,  34.0210,2.0,    320.1,2.0,    33.68,2.0,    25.67,2.0,     0.24,2.0,     2.15,2.0,   2190.0,2.0,    435.6,2.0,    -0.64,   -999.0,9.0,   -999.0,  -999.00,9.0,  -0.6430
276,  33LG20060321,  SR01,15.0,1.0,277.0,15.0,2.0,20060326.0,1655.0,-59.978,-63.312, 3865,     70.2,  -0.7900,  33.8930,2.0,  33.8960,2.0,    351.2,2.0,    27.84,2.0,    22.41,2.0,     0.19,2.0,     0.48,3.0,   2168.7,2.0,    374.9,2.0,    -0.79,   -999.0,9.0,   -999.0,  -999.00,9.0,  -0.7919
277,  33LG20060321,  SR01,15.0,1.0,278.0,16.0,2.0,20060326.0,1656.0,-59.978,-63.312, 3865,     50.8,   2.9400,  33.7260,2.0,  33.7420,2.0,    332.8,2.0,    11.49,2.0,    19.05,2.0,     0.25,2.0,     1.60,2.0,   2131.9,2.0,    349.0,2.0,     2.94,   -999.0,9.0,   -999.0,     1.75,2.0,   2.9370
278,  33LG20060321,  SR01,15.0,1.0,279.0,17.0,2.0,20060326.0,1657.0,-59.978,-63.312, 3865,     34.9,   3.2600,  33.7240,2.0,  33.7260,2.0,    329.2,2.0,    11.83,2.0,    17.24,2.0,     0.25,2.0,     1.44,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   3.2579
279,  33LG20060321,  SR01,15.0,1.0,280.0,18.0,2.0,20060326.0,1658.0,-59.978,-63.312, 3865,     26.0,   3.2700,  33.7240,2.0,  33.7260,2.0,    329.2,2.0,    11.89,2.0,    18.52,2.0,     0.29,2.0,     1.49,2.0,   2124.8,2.0,    347.9,2.0,     3.27,   -999.0,9.0,   -999.0,     1.82,2.0,   3.2684
280,  33LG20060321,  SR01,15.0,1.0,281.0,19.0,2.0,20060326.0,1659.0,-59.978,-63.312, 3865,     10.9,   3.2900,  33.7230,2.0,  33.7240,2.0,    329.5,2.0,    10.81,2.0,    17.95,2.0,     0.26,2.0,     1.59,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   3.2893
