,EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,NITRAT,NITRAT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
59,  06AQ20071128,   A12,318.0,1.0,13.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,    120.5,  -1.8370,  34.4000,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,  -1.8390
60,  06AQ20071128,   A12,318.0,1.0,12.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,    100.3,  -1.8300,  34.3950,2.0,    301.7,2.0,    31.60,2.0,   2223.3,2.0,   2329.6,2.0,  -1.8320
61,  06AQ20071128,   A12,318.0,1.0,11.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,    100.4,  -1.8300,  34.3960,2.0,   -999.0,9.0,    31.80,2.0,   -999.0,9.0,   -999.0,9.0,  -1.8320
62,  06AQ20071128,   A12,318.0,1.0,10.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,     80.4,  -1.8320,  34.3900,2.0,    301.7,2.0,    31.70,2.0,   2222.3,2.0,   2331.6,2.0,  -1.8340
63,  06AQ20071128,   A12,318.0,1.0,9.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,     80.5,  -1.8310,  34.3890,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,  -1.8330
64,  06AQ20071128,   A12,318.0,1.0,8.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,     60.4,  -1.8180,  34.3810,2.0,    302.7,2.0,    31.60,2.0,   -999.0,9.0,   -999.0,9.0,  -1.8190
65,  06AQ20071128,   A12,318.0,1.0,7.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,     60.5,  -1.8190,  34.3820,2.0,   -999.0,9.0,  -999.00,9.0,   2221.9,2.0,   2330.7,2.0,  -1.8200
66,  06AQ20071128,   A12,318.0,1.0,6.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,     39.9,  -1.7880,  34.3620,2.0,    304.5,2.0,    31.60,2.0,   -999.0,9.0,   -999.0,9.0,  -1.7890
67,  06AQ20071128,   A12,318.0,1.0,5.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,     40.0,  -1.7870,  34.3610,2.0,   -999.0,9.0,  -999.00,9.0,   2218.1,2.0,   2328.7,2.0,  -1.7880
68,  06AQ20071128,   A12,318.0,1.0,4.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,     20.6,  -1.7340,  34.2940,2.0,    307.9,2.0,    31.40,2.0,   2213.8,2.0,   2326.0,2.0,  -1.7340
69,  06AQ20071128,   A12,318.0,1.0,3.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,     20.6,  -1.7310,  34.2840,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,  -1.7310
70,  06AQ20071128,   A12,318.0,1.0,2.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,     10.4,  -1.7380,  34.2690,2.0,    314.2,2.0,    30.90,2.0,   2209.5,2.0,   2323.3,2.0,  -1.7380
71,  06AQ20071128,   A12,318.0,1.0,1.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,     10.4,  -1.7430,  34.2500,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,  -1.7430
72,  06AQ20071128,   A12,319.0,1.0,24.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,   3655.2,  -0.1710,  34.6500,2.0,    237.7,2.0,    31.00,2.0,   -999.0,9.0,   2353.5,2.0,  -0.4090
73,  06AQ20071128,   A12,319.0,1.0,23.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,   3655.3,  -0.1710,  34.6500,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,  -0.4090
