,EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,THETA
39,  29HE20130320,2.0,1.0,17.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,      5.1,   7.7157,  33.9886,2.0,    301.1,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2270.5,2.0,-999.0,9.0,  -999.00,   7.7152
40,  29HE20130320,2.0,1.0,18.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,      4.5,   7.7136,  33.9888,2.0,    301.4,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2270.6,2.0,-999.0,9.0,  -999.00,   7.7132
41,  29HE20130320,2.0,1.0,19.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,      5.0,   7.7135,  33.9890,2.0,    300.9,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2270.6,2.0,-999.0,9.0,  -999.00,   7.7130
42,  29HE20130320,2.0,1.0,20.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,      5.2,   7.7167,  33.9885,2.0,    301.4,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2270.5,2.0,-999.0,9.0,  -999.00,   7.7162
43,  29HE20130320,2.0,1.0,21.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,      5.1,   7.7140,  33.9886,2.0,    301.6,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2270.5,2.0,-999.0,9.0,  -999.00,   7.7135
44,  29HE20130320,2.0,1.0,22.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,      5.2,   7.7050,  33.9888,2.0,    300.9,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2270.6,2.0,-999.0,9.0,  -999.00,   7.7045
45,  29HE20130320,2.0,1.0,23.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,      4.8,   7.6930,  33.9896,2.0,    301.2,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2270.6,2.0,-999.0,9.0,  -999.00,   7.6925
46,  29HE20130320,2.0,1.0,24.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,      4.8,   7.7046,  33.9892,2.0,    301.5,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2270.6,2.0,-999.0,9.0,  -999.00,   7.7041
47,  29HE20130320,3.0,1.0,1.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,    729.2,   3.2485,  34.2188,2.0,    232.8,2.0,    235.1,2.0,    34.26,2.0,    31.06,2.0,     2.10,2.0,   2293.2,2.0,7.6149,2.0,    25.00,   3.1995
48,  29HE20130320,3.0,1.0,2.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,    729.5,   3.2486,  34.2188,2.0,    232.5,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2293.2,2.0,-999.0,9.0,  -999.00,   3.1995
