EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FLUOR,FLUOR_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PAR,PAR_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,MG/M^3,,UMOL/KG,,UMOL/KG,,UMOL/KG,,VOLTS,
09AR20080322,       TEST,       2,          1,         18,         18,2,20080325,       0000,   -54.4012,   143.8132,       2772,   110.5,   1.1480,  33.8515,2,  33.8503,2,   333.37,2,  328.72,2,    16.0,2,    2.00,2,-999.0000,9,-999.0000,9,-999.0000,9,  2153.7,2,  2278.0,2,   2.167,2,  -999.0,9, -999.00,9,   27.61,2,      0.428,2
09AR20080322,       TEST,       2,          1,         17,         17,2,20080325,       0000,   -54.4012,   143.8132,       2772,   129.6,   1.0330,  33.9197,2,  33.9139,2,   312.14,2,  314.17,2,    22.4,2,    2.07,2,-999.0000,9,-999.0000,9,-999.0000,9,  2166.2,2,  2282.5,2,   0.662,2,  -999.0,9, -999.00,9,   29.33,2,      0.059,2
09AR20080322,       TEST,       2,          1,         16,         16,2,20080325,       0000,   -54.4012,   143.8132,       2772,   150.3,   1.1504,  33.9874,2,  33.9825,2,   292.40,2,  297.81,2,    28.2,2,    2.13,2,-999.0000,9,-999.0000,9,-999.0000,9,  2178.1,2,  2283.7,2,   0.221,2,  -999.0,9, -999.00,9,   30.32,2,      0.001,2
09AR20080322,       TEST,       2,          1,         15,         15,2,20080325,       0000,   -54.4012,   143.8132,       2772,   200.6,   1.6550,  34.1806,2,  34.1745,2,   244.94,2,  247.74,2,    44.8,2,    2.31,2,-999.0000,9,-999.0000,9,-999.0000,9,  2209.2,2,  2295.5,2,  -0.021,2,  -999.0,9, -999.00,9,   32.57,2,      0.001,2
09AR20080322,       TEST,       2,          1,         14,         14,2,20080325,       0000,   -54.4012,   143.8132,       2772,   298.2,   2.2292,  34.3776,2,  34.3754,2,   197.22,2,  194.38,2,    61.5,2,    2.45,2,-999.0000,9,-999.0000,9,-999.0000,9,  2236.9,2,  2309.7,2,  -0.029,2,  -999.0,9, -999.00,9,   34.48,2,      0.001,2
09AR20080322,       TEST,       2,          1,         13,         13,2,20080325,       0000,   -54.4012,   143.8132,       2772,   401.6,   2.3297,  34.4814,2,  34.4799,2,   179.97,2,  179.81,2,    69.1,2,    2.46,2,-999.0000,9,-999.0000,9,-999.0000,9,  2249.1,2,  2321.1,6,  -0.026,2,  -999.0,9, -999.00,9,   34.48,2,      0.001,2
09AR20080322,       TEST,       2,          1,         12,         12,2,20080325,       0000,   -54.4012,   143.8132,       2772,   550.2,   2.3362,  34.5809,2,  34.5799,2,   172.79,2,  172.96,2,    75.0,2,    2.41,2,-999.0000,9,-999.0000,9,-999.0000,9,  2253.2,6,  2328.1,6,  -0.030,2,  -999.0,9, -999.00,9,   34.15,2,      0.001,2
09AR20080322,       TEST,       2,          1,         11,         11,2,20080325,       0000,   -54.4012,   143.8132,       2772,   701.8,   2.2785,  34.6421,2,  34.6403,2,   173.72,2,  174.26,2,    78.2,2,    2.38,2,-999.0000,9,-999.0000,9,-999.0000,9,  2252.6,2,  2333.9,2,  -0.027,2,  -999.0,9, -999.00,9,   33.32,2,      0.001,2
09AR20080322,       TEST,       2,          1,         10,         10,2,20080325,       0000,   -54.4012,   143.8132,       2772,   854.1,   2.2466,  34.6912,2,  34.6901,2,   179.44,2,  181.08,2,    79.1,2,    2.29,2,-999.0000,9,-999.0000,9,-999.0000,9,  2250.3,2,  2339.3,2,  -0.025,2,  -999.0,9, -999.00,9,   32.07,2,      0.001,2
09AR20080322,       TEST,       2,          1,          9,          9,2,20080325,       0000,   -54.4012,   143.8132,       2772,  1001.1,   2.1575,  34.7184,2,  34.7164,2,   185.19,2,  186.42,2,    81.0,2,    2.25,2,-999.0000,9,-999.0000,9,-999.0000,9,  2249.1,2,  2340.9,2,  -0.029,2,  -999.0,9, -999.00,9,   31.23,2,      0.001,2
09AR20080322,       TEST,       2,          1,          8,          8,2,20080325,       0000,   -54.4012,   143.8132,       2772,  1250.5,   1.9657,  34.7416,2,  34.7404,2,   191.48,2,  192.23,2,    86.1,2,    2.21,2,-999.0000,9,-999.0000,9,-999.0000,9,  2248.4,2,  2345.4,2,  -0.027,2,  -999.0,9, -999.00,9,   30.51,2,      0.001,2
09AR20080322,       TEST,       2,          1,          7,          7,2,20080325,       0000,   -54.4012,   143.8132,       2772,  1500.0,   1.7545,  34.7480,2,  34.7467,2,   196.69,2,  196.14,2,    92.0,2,    2.20,2,-999.0000,9,-999.0000,9,-999.0000,9,  2247.8,2,  2347.2,2,  -0.028,2,  -999.0,9, -999.00,9,   30.47,2,      0.001,2
09AR20080322,       TEST,       2,          1,          6,          6,2,20080325,       0000,   -54.4012,   143.8132,       2772,  1750.6,   1.5015,  34.7438,2,  34.7429,2,   200.79,2,  200.22,2,    99.2,2,    2.23,2,-999.0000,9,-999.0000,9,-999.0000,9,  2251.5,2,  2351.7,2,  -0.034,2,  -999.0,9, -999.00,9,   30.39,3,      0.001,2
09AR20080322,       TEST,       2,          1,          5,          5,2,20080325,       0000,   -54.4012,   143.8132,       2772,  2002.1,   1.2640,  34.7344,2,  34.7331,2,   203.81,2,  206.05,2,   106.7,2,    2.26,2,-999.0000,9,-999.0000,9,-999.0000,9,  2251.9,2,  2356.5,2,  -0.035,2,  -999.0,9, -999.00,9,   31.12,2,      0.001,2
09AR20080322,       TEST,       2,          1,          4,          4,2,20080325,       0000,   -54.4012,   143.8132,       2772,  2251.2,   1.0650,  34.7246,2,  34.7227,2,   205.91,2,  205.13,2,   112.6,2,    2.29,2,-999.0000,9,-999.0000,9,-999.0000,9,  2258.7,2,  2357.9,6,  -0.034,2,  -999.0,9, -999.00,9,   31.53,2,      0.001,2
09AR20080322,       TEST,       2,          1,          3,          3,2,20080325,       0000,   -54.4012,   143.8132,       2772,  2499.8,   0.8403,  34.7133,2,  34.7119,2,   208.75,2,  208.30,2,   119.3,2,    2.33,2,-999.0000,9,-999.0000,9,-999.0000,9,  2259.7,2,  2357.2,2,  -0.034,2,  -999.0,9, -999.00,9,   31.60,2,      0.001,2
09AR20080322,       TEST,       2,          1,          2,          2,2,20080325,       0000,   -54.4012,   143.8132,       2772,  2752.0,   0.6815,  34.7055,2,  34.7037,2,   210.68,2,  210.56,2,   126.3,2,    2.36,2,-999.0000,9,-999.0000,9,-999.0000,9,  2261.7,2,  2358.0,6,  -0.035,2,  -999.0,9, -999.00,9,   31.85,2,      0.001,2
09AR20080322,       TEST,       2,          1,          1,          1,2,20080325,       0000,   -54.4012,   143.8132,       2772,  2807.9,   0.6669,  34.7046,2,  34.7033,2,   210.61,2,  211.25,2,   126.6,2,    2.35,2,-999.0000,9,-999.0000,9,-999.0000,9,  2263.0,2,  2357.0,2,  -0.036,2,  -999.0,9, -999.00,9,   31.79,2,      0.001,2
09AR20080322,       TEST,       3,          1,         24,         24,2,20080325,       2226,   -57.5072,   142.8413,       2898,   298.4,   2.0849,  34.3003,2,-999.0000,9,  -999.00,5, -999.00,9,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.033,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
