EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NO2+NO3,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA,NO2+NO3_FLAG_W
,,,,,,,,,,,METERS,DBAR,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C,
09AR20011029, SR03, 2, 1, 17, 17, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,     76.0,  12.4440,  35.2210, 2, -999.0000, 9,    249.1, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   2317.9, 2,  12.4370, 9
09AR20011029, SR03, 2, 1, 16, 16, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,     76.1,  12.4410,  35.2210, 2,  35.2220, 2,    249.1, 2,    256.3, 2,     1.90, 2,     6.11, 2,     6.11,     0.44, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  12.4340, 2
09AR20011029, SR03, 2, 1, 14, 14, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,    101.4,  12.3160,  35.1980, 2,  35.1970, 2,    256.3, 2,    255.6, 2,     2.00, 2,     6.60, 2,     6.60,     0.48, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2093.9, 2,   2316.7, 2,  12.3060, 2
09AR20011029, SR03, 2, 1, 15, 15, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,    101.7,  12.3080,  35.1970, 2, -999.0000, 9,    256.3, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9,    3.266, 4,    1.820, 3, -999.000, 5,   -999.0, 9,   -999.0, 9,  12.2970, 9
09AR20011029, SR03, 2, 1, 12, 12, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,    127.0,  12.2270,  35.1810, 2,  35.1830, 2,    255.7, 2,    255.9, 2,     2.00, 2,     6.69, 2,     6.69,     0.49, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2094.8, 2,   2315.3, 2,  12.2130, 2
09AR20011029, SR03, 2, 1, 13, 13, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,    127.2,  12.2360,  35.1820, 2, -999.0000, 9,    255.7, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  12.2220, 9
09AR20011029, SR03, 2, 1, 11, 11, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,    151.8,  11.9760,  35.1340, 2, -999.0000, 9,    254.8, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9,    3.307, 3,    1.895, 3, -999.000, 5,   2097.7, 2,   2314.7, 2,  11.9590, 9
09AR20011029, SR03, 2, 1, 10, 10, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,    152.0,  11.9730,  35.1350, 2,  35.1360, 2,    254.8, 2,    253.8, 2,     2.20, 2,     7.75, 2,     7.75,     0.54, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  11.9560, 2
09AR20011029, SR03, 2, 1, 9, 9, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,    175.1,  11.9550,  35.1300, 2, -999.0000, 9,    250.1, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   2099.8, 2,   2312.7, 2,  11.9350, 9
09AR20011029, SR03, 2, 1, 8, 8, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,    175.4,  11.9500,  35.1290, 2,  35.1310, 2,    250.1, 2,    253.5, 2,     2.20, 2,     7.89, 2,     7.89,     0.57, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  11.9300, 2
09AR20011029, SR03, 2, 1, 7, 7, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,    201.4,  11.7580,  35.0950, 2, -999.0000, 9,    254.5, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9,    3.296, 3,    1.877, 3, -999.000, 5,   2103.0, 2,   2311.6, 2,  11.7350, 9
09AR20011029, SR03, 2, 1, 6, 6, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,    201.5,  11.7630,  35.0950, 3,  35.0950, 2,    254.5, 2,    251.7, 2,     2.40, 2,     8.35, 2,     8.35,     0.59, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  11.7400, 2
09AR20011029, SR03, 2, 1, 5, 5, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,    225.2,  11.7610,  35.0930, 3, -999.0000, 9,    255.3, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   2100.9, 2,   2312.6, 2,  11.7350, 9
09AR20011029, SR03, 2, 1, 4, 4, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,    225.5,  11.7600,  35.0950, 2, -999.0000, 9,    255.3, 2,    253.5, 2,     2.40, 2,     8.33, 2,     8.33,     0.60, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  11.7340, 2
09AR20011029, SR03, 2, 1, 2, 2, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,    250.7,  11.6440,  35.0730, 2,  35.0740, 2,    252.2, 2,    251.1, 2,     2.50, 2,     8.75, 2,     8.75,     0.61, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2103.3, 2,   2310.7, 2,  11.6150, 2
09AR20011029, SR03, 2, 1, 3, 3, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,    251.0,  11.6510,  35.0730, 3, -999.0000, 9,    252.2, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9,    3.320, 3,    1.872, 3, -999.000, 5,   -999.0, 9,   -999.0, 9,  11.6220, 9
09AR20011029, SR03, 2, 1, 1, 1, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,    305.5,  11.4410,  35.0350, 4,  35.0370, 2,    248.3, 2,    250.9, 2,     2.70, 2,     9.53, 2,     9.53,     0.65, 2,    3.336, 3,    1.851, 3, -999.000, 5,   2104.3, 2,   2305.1, 2,  11.4050, 2
09AR20011029, SR03, 3, 1, 24, 24, 2, 20011030, 0631, -44.0520, 146.2992, 504,  -999.00,      5.7,  13.2790,  35.2700, 2,  35.2690, 2,    280.7, 3,    273.3, 2,     1.50, 2,     2.68, 2,     2.68,     0.24, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2068.1, 2,   2319.0, 2,  13.2810, 2
09AR20011029, SR03, 3, 1, 23, 23, 2, 20011030, 0631, -44.0520, 146.2992, 504,  -999.00,      5.9,  13.2790,  35.2700, 2, -999.0000, 9,    280.7, 3,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  13.2810, 9
09AR20011029, SR03, 3, 1, 21, 21, 2, 20011030, 0631, -44.0520, 146.2992, 504,  -999.00,     26.5,  13.2940,  35.2710, 2, -999.0000, 9,    278.5, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  13.2940, 9
09AR20011029, SR03, 3, 1, 22, 22, 2, 20011030, 0631, -44.0520, 146.2992, 504,  -999.00,     26.6,  13.2930,  35.2710, 2,  35.2710, 2,    278.5, 2,    273.5, 2,     1.60, 2,     2.61, 2,     2.61,     0.27, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  13.2920, 2
09AR20011029, SR03, 3, 1, 20, 20, 2, 20011030, 0631, -44.0520, 146.2992, 504,  -999.00,     50.7,  13.0910,  35.2490, 3,  35.2470, 2,    274.2, 2,    271.3, 2,     1.80, 2,     3.53, 2,     3.53,     0.35, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  13.0870, 2
09AR20011029, SR03, 3, 1, 19, 19, 2, 20011030, 0631, -44.0520, 146.2992, 504,  -999.00,     50.9,  13.0560,  35.2470, 4, -999.0000, 9,    274.2, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  13.0520, 9
09AR20011029, SR03, 3, 1, 18, 718, 2, 20011030, 0631, -44.0520, 146.2992, 504,  -999.00,     76.0,  12.7180,  35.2580, 2,  35.2570, 2,    256.1, 2,    257.8, 2,     2.00, 2,     5.56, 2,     5.56,     0.43, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  12.7110, 2
09AR20011029, SR03, 3, 1, 17, 17, 2, 20011030, 0631, -44.0520, 146.2992, 504,  -999.00,     76.3,  12.7130,  35.2580, 2, -999.0000, 9,    256.1, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  12.7060, 9
09AR20011029, SR03, 3, 1, 16, 16, 2, 20011030, 0631, -44.0520, 146.2992, 504,  -999.00,    101.4,  12.5250,  35.2220, 3,  35.2210, 2,    263.3, 2,    259.1, 2,     2.00, 2,     6.02, 2,     6.02,     0.45, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  12.5140, 2
09AR20011029, SR03, 3, 1, 15, 15, 2, 20011030, 0631, -44.0520, 146.2992, 504,  -999.00,    101.6,  12.5110,  35.2190, 2, -999.0000, 9,    263.3, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  12.5000, 9
09AR20011029, SR03, 3, 1, 14, 14, 2, 20011030, 0631, -44.0520, 146.2992, 504,  -999.00,    149.9,  11.9840,  35.1350, 3,  35.1360, 2,    252.5, 2,    249.7, 2,     2.50, 2,     8.35, 2,     8.35,     0.58, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  11.9670, 2
09AR20011029, SR03, 3, 1, 13, 13, 2, 20011030, 0631, -44.0520, 146.2992, 504,  -999.00,    150.1,  11.9790,  35.1340, 2, -999.0000, 9,    252.5, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  11.9620, 9
09AR20011029, SR03, 3, 1, 12, 12, 2, 20011030, 0631, -44.0520, 146.2992, 504,  -999.00,    201.2,  11.5950,  35.0740, 3,  35.0780, 2,    260.0, 2,    255.9, 2,     2.40, 2,     8.51, 2,     8.51,     0.60, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  11.5720, 2
