BOTTLE,20141024CCHSIOCBG
# Original header:
# Merged parameters: TCARBN, TCARBN_FLAG_W, ALKALI, ALKALI_FLAG_W
# 20090522OOCNOCBAK
# There are 12 instances of the bottle quality flag being set to 10. These correspond to cases where there was something anomalous about the bottle closure. The samples are believed to be good. In 9 of these cases the shallowest bottle was at 5 metres depth andappeared to have closed normally. The CFC sampler reported that a dribble leaked out of the bottom tap when it was pushed in even though the top vent was still closed. 
# The CTD PRS;  TMP;  SAL;  OXY; data are all calibrated and good .
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,SALNTY,SALNTY_FLAG_W,CTDOXY,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA,NO2+NO3,NO2+NO3_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,PSS-78,,UMOL/KG,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C,UMOL/KG,
740H20090307,       A095,       6,          1,          2,          2,2,20090309,       0109,  -36.70881,  -52.98910,       2596,  2527.3,   2.4944,  34.8648,  34.8604,2,    225.5,   227.7,2,   54.76,2,    1.71,2,  2204.1,2,  2346.3,2,   2.3014,   24.59,2
740H20090307,       A095,       6,          1,          3,          3,2,20090309,       0109,  -36.70881,  -52.98910,       2596,  2272.0,   3.2182,  34.9268,  34.9259,2,    237.0,   239.6,2,   31.04,2,    1.49,2,  2177.8,2,  2328.3,2,   3.0367,   21.72,2
740H20090307,       A095,       6,          1,          4,          4,2,20090309,       0109,  -36.70881,  -52.98910,       2596,  2017.7,   3.6350,  34.9186,  34.9201,2,    228.2,   230.7,2,   27.13,2,    1.53,2,  2178.9,2,  2323.2,2,   3.4714,   22.03,2
740H20090307,       A095,       6,          1,          5,          5,2,20090309,       0109,  -36.70881,  -52.98910,       2596,  1762.8,   3.6551,  34.7910,  34.7902,2,    200.9,   202.5,2,   36.97,2,    1.90,2,  2199.4,2,  2326.3,2,   3.5155,   27.71,2
740H20090307,       A095,       6,          1,          7,          7,2,20090309,       0109,  -36.70881,  -52.98910,       2596,  1508.5,   3.1694,  34.5481,  34.5483,2,    184.2,   186.3,2,   51.13,2,    2.26,2,  2222.8,2,    2321,2,   3.0590,   32.72,2
740H20090307,       A095,       6,          1,          8,          8,2,20090309,       0109,  -36.70881,  -52.98910,       2596,  1254.7,   3.3086,  34.3681,  34.3681,2,    197.5,   199.7,2,   43.91,2,    2.31,2,  2210.3,2,  2313.9,2,   3.2182,   33.39,2
740H20090307,       A095,       6,          1,          9,          9,2,20090309,       0109,  -36.70881,  -52.98910,       2596,  1002.6,   3.9994,  34.2926,  34.2924,2,    216.0,   217.3,2,   29.27,2,    2.16,2,  2186.6,2,  2297.6,2,   3.9238,   31.15,2
740H20090307,       A095,       6,          1,         11,         11,2,20090309,       0109,  -36.70881,  -52.98910,       2596,   876.7,   4.6492,  34.2836,  34.2841,2,    224.4,   225.8,2,   21.36,2,    2.04,2,  2171.6,2,  2293.4,2,   4.5797,   29.00,2
740H20090307,       A095,       6,          1,         12,         12,2,20090309,       0109,  -36.70881,  -52.98910,       2596,   749.1,   5.4778,  34.3072,  34.3079,2,    230.9,   231.8,2,   15.14,2,    1.86,2,  2156.9,2,  2291.2,2,   5.4143,   26.64,2
740H20090307,       A095,       6,          1,         13,         13,2,20090309,       0109,  -36.70881,  -52.98910,       2596,   624.1,   7.5797,  34.5207,  34.5208,2,    206.2,   208.8,2,   11.71,2,    1.66,2,  2149.2,2,  2297.2,2,   7.5172,   23.51,2
740H20090307,       A095,       6,          1,         15,         15,2,20090309,       0109,  -36.70881,  -52.98910,       2596,   498.9,  10.4674,  34.8568,  34.8539,2,    201.6,   203.3,2,    6.69,2,    1.23,2,  2135.3,2,  2307.9,2,  10.4070,   16.25,2
740H20090307,       A095,       6,          1,         16,         16,2,20090309,       0109,  -36.70881,  -52.98910,       2596,   373.1,  13.4791,  35.3418,  35.3408,2,    205.8,   209.6,2,    3.91,2,    0.76,2,  2117.2,2,  2331.6,2,  13.4261,    9.30,2
740H20090307,       A095,       6,          1,         17,         17,2,20090309,       0109,  -36.70881,  -52.98910,       2596,   246.8,  15.0269,  35.5478,  35.5478,2,    205.8,   207.1,2,    3.13,2,    0.56,2,  2108.9,2,  2337.7,2,  14.9892,    6.18,2
740H20090307,       A095,       6,          1,         19,         19,2,20090309,       0109,  -36.70881,  -52.98910,       2596,   172.5,  16.4169,  35.7709,  35.7704,2,    201.9,   205.4,2,    2.66,2,    0.43,2,  2101.8,2,  2356.9,2,  16.3889,    4.16,2
740H20090307,       A095,       6,          1,         20,         20,2,20090309,       0109,  -36.70881,  -52.98910,       2596,    97.3,  18.4280,  36.1020,  36.1032,2,    211.8,   223.1,2,    1.96,2,    0.17,2,  -999.0,9,  -999.0,9,  18.4110,    0.17,2
740H20090307,       A095,       6,          1,         21,         21,2,20090309,       0109,  -36.70881,  -52.98910,       2596,    71.9,  20.0174,  36.2167,  36.2234,2,    231.7,   233.8,2,    1.81,2,    0.09,2,  2069.3,2,  2388.4,2,  20.0041,    0.10,2
740H20090307,       A095,       6,          1,         22,         22,2,20090309,       0109,  -36.70881,  -52.98910,       2596,    46.6,  23.6934,  36.3987,  36.3990,2,    210.4,   212.3,2,    1.83,2,    0.06,2,  2062.5,2,  2396.4,2,  23.6836,    0.12,2
740H20090307,       A095,       6,          1,         23,         23,2,20090309,       0109,  -36.70881,  -52.98910,       2596,    22.1,  23.9502,  36.4475,  36.4446,2,    209.5,   208.9,2,    1.80,2,    0.07,2,  2064.6,2,  2402.5,2,  23.9455,    0.11,2
740H20090307,       A095,       6,          1,         24,         24,2,20090309,       0109,  -36.70881,  -52.98910,       2596,     2.8,  24.4575,  36.4888,  36.4930,2,    208.0,   207.1,2,    1.93,2,    0.07,2,  2061.7,2,  2402.2,2,  24.4569,    0.06,2
740H20090307,       A095,       7,          1,          1,          1,3,20090309,       0534,  -36.77892,  -52.87299,       2961,  2994.7,   1.4029,  34.7454,-999.0000,9,    203.0,  -999.0,9, -999.00,9, -999.00,9,  -999.0,9,  -999.0,9,   1.1884, -999.00,9
740H20090307,       A095,       7,          1,          2,          2,2,20090309,       0534,  -36.77892,  -52.87299,       2961,  2938.9,   1.5262,  34.7574,  34.7597,2,    205.1,   207.1,2,   95.58,2,    2.03,2,  2240.5,2,  2359.4,2,   1.3143,   29.99,2
