EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,CHLORA,CHLORA_FLAG_W,HELIUM,HELIER,HELIUM_FLAG_W,DELHE3,DELHER,DELHE3_FLAG_W,NEON,NEONE,NEON_FLAG_W,THETA
,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,UG/L,,NMOL/KG,NMOL/KG,,PERCNT,PERCNT,,NMOL/KG,NMOL/KG,,DEG C
  06MT20010717,   313,  1,      7,2,20010719,0000, 66.1320, -27.0820,  638,    403.6,  -0.2704,  34.8863,2,    309.4,2,     8.37,2,    13.43,2,     0.01,2,     0.66,2,    3.127,2,    1.581,2,   2159.5,2,   2303.2,2,   7.7197,2,    25.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,  -0.2853
  06MT20010717,   313,  1,      6,2,20010719,0000, 66.1320, -27.0820,  638,    453.5,  -0.5532,  34.8973,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    2.565,2,    1.252,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,  -0.5691
  06MT20010717,   313,  1,      5,2,20010719,0000, 66.1320, -27.0820,  638,    504.2,  -0.5552,  34.8972,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    2.485,2,    1.239,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,  -0.5731
  06MT20010717,   313,  1,      4,2,20010719,0000, 66.1320, -27.0820,  638,    504.7,  -0.5553,  34.8974,2,    305.3,2,     9.30,2,    13.56,2,     0.01,2,     0.67,2, -999.000,9, -999.000,9,   2160.6,2,   2297.5,2,   7.7177,2,    25.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,  -0.5732
  06MT20010717,   313,  1,      3,2,20010719,0000, 66.1320, -27.0820,  638,    554.8,  -0.5539,  34.8971,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    2.455,2,    1.225,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,  -0.5739
  06MT20010717,   313,  1,      2,2,20010719,0000, 66.1320, -27.0820,  638,    614.7,  -0.5501,  34.8970,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    2.434,2,    1.241,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,  -0.5726
  06MT20010717,   313,  1,      1,2,20010719,0000, 66.1320, -27.0820,  638,    614.7,  -0.5505,  34.8969,2,    305.7,2,     9.36,2,    13.63,2,     0.01,2,     0.67,2, -999.000,9, -999.000,9,   2176.4,3,   2299.0,2,   7.7187,2,    25.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,  -0.5730
  06MT20010717,   317,  1,     22,2,20010719,0000, 66.0000, -26.5070,  282,     11.8,   9.0985,  35.0574,2,    304.8,2,     0.07,2,     2.96,2,     0.09,2,     0.15,2,    3.867,3,    2.099,3,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   9.0972
  06MT20010717,   317,  1,     21,2,20010719,0000, 66.0000, -26.5070,  282,     12.3,   9.0987,  35.0574,2,    304.9,2,     0.13,2,     2.98,2,     0.09,2,     0.14,2, -999.000,9, -999.000,9,   2067.9,2,   2319.1,2,   7.9640,2,    25.00,     1.33,2,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   9.0974
  06MT20010717,   317,  1,     20,2,20010719,0000, 66.0000, -26.5070,  282,     19.8,   9.0976,  35.0563,2,    305.2,2,     0.13,2,     2.96,2,     0.09,2,     0.13,2, -999.000,9, -999.000,9,   2068.3,2,   2318.1,2,   7.9660,2,    25.00,     1.29,2,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   9.0954
