EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,HELIER,DELHE3,DELHE3_FLAG_W,DELHER,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,TU,NMOL/KG,,NMOL/KG,PERCNT,,PERCNT,DEG C
58JH19990615, 75N, 464, 1, 6, 2, 19990618, 0, 68.5140, 13.7732, 1961,     19.6,   8.4790,  33.7169, 2,  33.6920, 3,    304.1, 2,     2.24, 2,     0.10, 2,     0.00, 2,     0.13, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   8.4770
58JH19990615, 75N, 464, 1, 5, 2, 19990618, 0, 68.5140, 13.7732, 1961,     29.6,   8.4720,  33.7171, 2,  33.6890, 3,    305.8, 2,     2.24, 2,     0.11, 2,     0.00, 2,     0.14, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   8.4690
58JH19990615, 75N, 464, 1, 4, 2, 19990618, 0, 68.5140, 13.7732, 1961,     49.4,   7.0990,  33.8542, 2,  33.8700, 3,    294.5, 2,     3.01, 2,     4.55, 2,     0.07, 2,     0.41, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   7.0945
58JH19990615, 75N, 464, 1, 3, 2, 19990618, 0, 68.5140, 13.7732, 1961,     74.7,   6.2710,  34.1725, 2,  34.1740, 3,    286.1, 2,     3.90, 2,     8.42, 2,     0.10, 2,     0.61, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   6.2646
58JH19990615, 75N, 464, 1, 2, 2, 19990618, 0, 68.5140, 13.7732, 1961,    124.0,   6.8450,  34.7851, 2,  34.7760, 3,    277.7, 2,     4.37, 2,    10.37, 2,     0.05, 2,     0.69, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   6.8336
58JH19990615, 75N, 464, 1, 1, 2, 19990618, 0, 68.5140, 13.7732, 1961,    129.1,   6.8610,  34.8229, 2,  34.8000, 3,    286.8, 2,     4.41, 2,    10.45, 2,     0.04, 2,     0.69, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   6.8491
58JH19990615, 75N, 465, 1, 7, 2, 19990618, 0, 68.5460, 13.6853, 1961,      3.5,   8.5930, -999.0000, 9,  33.7010, 3,   -999.0, 9,     2.35, 2,     0.22, 2,     0.00, 2,     0.15, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00, -999.0000
58JH19990615, 75N, 465, 1, 6, 2, 19990618, 0, 68.5460, 13.6853, 1961,     10.2,   8.5870,  33.7260, 2,  33.6980, 3,   -999.0, 9,     2.36, 2,     0.21, 2,     0.00, 2,     0.15, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   8.5860
58JH19990615, 75N, 465, 1, 5, 2, 19990618, 0, 68.5460, 13.6853, 1961,     19.2,   8.5780,  33.7259, 2,  33.6940, 3,   -999.0, 9,     2.36, 2,     0.22, 2,     0.00, 2,     0.15, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   8.5760
58JH19990615, 75N, 465, 1, 4, 2, 19990618, 0, 68.5460, 13.6853, 1961,     29.2,   8.4020,  33.7330, 2,  33.7040, 3,   -999.0, 9,     2.47, 2,     1.01, 2,     0.01, 2,     0.21, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   8.3990
