BOTTLE,20120208PRINUNIVRMK
# 2/6/2012 Initialized README file  
# Data source:  2/6/2012 (via R.Ballerby and S.van Heuven) 
# SHIP: Polarstern 
# Cruise: ANT-XXIV_2 
# Region: 3 meridional secitons at 3W,0,3E; eastern Weddell Sea; A12 partial; Capetown to Capetown 
# EXPOCODE: 06AQ20071128 
# DATES: 11/28/2007 - 2/4/2008 
# Chief Scientist: Ulrich Bathmann (AWI) 
# 77 stations with 24 place Rosette 
# Hydro: Who - V. Strass; Status -  final 
# 	Notes: 	Bottle numbers fabricated 
# 	Temperature back-calculated from theta 
# 	No bottle salinity 
# Nuts: Who - R. Bellerby; Status - final 
# 	Notes: nitrate only. Data very noisy 
# O2: Who - R. Bellerby; Status - final 
# 	Notes: no CTDOXY in file 
# TCO2: Who - R. Bellerby; Status - final 
# 	Notes: See Hauck et al., 2009 
# TA: Who - R. Bellerby; Status - final 
# 	Notes:  
# CFC: Who - ; Status -  no data in file 
# 	Notes:  includes CFC-113 and CCl-4 
# POC/ChloroA: Who -  ; Status - no data yet  
# 	Notes:  
# References: 
# Hauck, J., M. Hoppema, R.G.J. Bellerby, C. Völker and D. Wolf-Gladrow, 2010. Data-based estimation of anthropogenic carbon and acidification in the Weddell Sea on a decadal time scale. Journal of Geophysical Research 115: C03004, doi:10.1029/2009JC005479. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,NITRAT,NITRAT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
  06AQ20071128,   A12,   318,  1,     20,2,    -999,   0,-69.5370,  -2.8890, 3286,    250.6,  -1.0880,  34.4820,2,    273.3,2,    32.60,2,   2231.5,2,   2336.5,2,  -1.0950
  06AQ20071128,   A12,   318,  1,     19,2,    -999,   0,-69.5370,  -2.8890, 3286,    250.9,  -1.1730,  34.4730,2,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,9,  -1.1800
  06AQ20071128,   A12,   318,  1,     18,2,    -999,   0,-69.5370,  -2.8890, 3286,    200.2,  -1.7160,  34.4230,2,    295.8,2,    30.80,2,   2226.0,2,   2332.7,2,  -1.7200
  06AQ20071128,   A12,   318,  1,     17,2,    -999,   0,-69.5370,  -2.8890, 3286,    200.3,  -1.7310,  34.4200,2,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,9,  -1.7350
  06AQ20071128,   A12,   318,  1,     16,2,    -999,   0,-69.5370,  -2.8890, 3286,    160.7,  -1.8310,  34.4070,2,    299.2,2,  -999.00,9,   -999.0,9,   -999.0,9,  -1.8340
  06AQ20071128,   A12,   318,  1,     15,2,    -999,   0,-69.5370,  -2.8890, 3286,    160.9,  -1.8300,  34.4070,2,    299.2,2,    32.30,2,   2224.5,2,   2333.4,2,  -1.8330
  06AQ20071128,   A12,   318,  1,     14,2,    -999,   0,-69.5370,  -2.8890, 3286,    120.4,  -1.8350,  34.4000,2,    300.4,2,    32.00,2,   2223.9,2,   2330.6,2,  -1.8370
  06AQ20071128,   A12,   318,  1,     13,2,    -999,   0,-69.5370,  -2.8890, 3286,    120.5,  -1.8370,  34.4000,2,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,9,  -1.8390
  06AQ20071128,   A12,   318,  1,     12,2,    -999,   0,-69.5370,  -2.8890, 3286,    100.3,  -1.8300,  34.3950,2,    301.7,2,    31.60,2,   2223.3,2,   2329.6,2,  -1.8320
  06AQ20071128,   A12,   318,  1,     11,2,    -999,   0,-69.5370,  -2.8890, 3286,    100.4,  -1.8300,  34.3960,2,   -999.0,9,    31.80,2,   -999.0,9,   -999.0,9,  -1.8320
  06AQ20071128,   A12,   318,  1,     10,2,    -999,   0,-69.5370,  -2.8890, 3286,     80.4,  -1.8320,  34.3900,2,    301.7,2,    31.70,2,   2222.3,2,   2331.6,2,  -1.8340
