EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,CCL4,CCL4_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEG C,PMOL/KG,,DEG C
74DI20040404,        A05,       3,          1,          3,2,20040405,       0000,    27.0292,   -79.8626,        268,    51.7,-999.0000,  36.3113,0,  36.2990,2,   -999.0,9,  -999.0,9,    0.78,2,    0.10,2,    0.03,2,   1.793,2,   1.130,2,   0.122,2,  -999.0,9,  -999.0,9,   403.1,2,      15,   1.836,2,-999.0000
74DI20040404,        A05,       3,          1,          4,2,20040405,       0000,    27.0292,   -79.8626,        268,    11.6,-999.0000,  36.2387,0,  36.2360,2,   -999.0,9,  -999.0,9,    1.17,2,    0.00,2,    0.02,2,   1.737,2,   1.068,2,   0.119,2,  2017.7,2,  2367.2,2,   405.3,2,      15,   1.895,2,-999.0000
74DI20040404,        A05,       4,          1,          1,2,20040405,       0000,    27.0175,   -79.7761,        396,   378.2,-999.0000,  35.0009,0,  34.9870,2,   -999.0,9,  -999.0,9,   19.92,2,   28.71,2,    1.88,2,   0.372,2,   0.207,2,   0.006,2,  2203.3,2,  2313.4,2,   596.2,2,      15,   0.175,2,-999.0000
74DI20040404,        A05,       4,          1,          2,2,20040405,       0000,    27.0175,   -79.7761,        396,   297.1,-999.0000,  35.5297,0,  35.4540,2,   -999.0,9,  -999.0,9,   12.98,2,   23.13,2,    1.47,2,   1.059,2,   0.598,2,   0.007,2,  -999.0,9,  2334.1,2,   566.0,2,      15,   0.208,2,-999.0000
74DI20040404,        A05,       4,          1,          3,2,20040405,       0000,    27.0175,   -79.7761,        396,   150.7,-999.0000,  36.4700,0,  36.4580,2,   -999.0,9,  -999.0,9,    1.66,2,    2.44,2,    0.14,2,   2.094,6,   1.218,6,   0.122,6,  -999.0,9,  -999.0,9,   378.3,2,      15,   1.542,6,-999.0000
74DI20040404,        A05,       4,          1,          4,2,20040405,       0000,    27.0175,   -79.7761,        396,    50.3,-999.0000,  36.2448,0,  36.2480,2,   -999.0,9,  -999.0,9,    1.17,2,    0.10,2,    0.03,2,   1.701,2,   1.081,2,   0.115,2,  2018.5,2,  2369.4,2,   406.7,2,      15,   1.798,2,-999.0000
74DI20040404,        A05,       4,          1,          5,2,20040405,       0000,    27.0175,   -79.7761,        396,    10.8,-999.0000,  36.2454,0,  36.2480,2,   -999.0,9,  -999.0,9,    1.17,2,    0.00,2,    0.01,2,   1.724,2,   1.056,2,   0.109,2,  -999.0,9,  -999.0,9,   406.7,2,      15,   1.808,2,-999.0000
74DI20040404,        A05,       5,          1,          1,2,20040405,       0000,    27.0147,   -79.6824,        534,   523.7,-999.0000,  34.9410,0,  34.9410,2,   -999.0,9,  -999.0,9,   21.65,2,   30.06,2,    1.95,2,   0.256,2,   0.141,2,   0.007,2,  2203.3,2,  2311.4,2,   592.1,2,      15,   0.159,2,-999.0000
74DI20040404,        A05,       5,          1,          2,2,20040405,       0000,    27.0147,   -79.6824,        534,   451.7,-999.0000,  35.2213,0,  35.2310,2,   -999.0,9,  -999.0,9,   15.40,2,   26.41,2,    1.69,2,   0.799,2,   0.405,2,   0.000,2,  -999.0,9,  2316.7,2,   609.2,2,      15,   0.228,2,-999.0000
74DI20040404,        A05,       5,          1,          3,2,20040405,       0000,    27.0147,   -79.6824,        534,   302.3,-999.0000,  35.9937,0,  36.0000,2,   -999.0,9,  -999.0,9,    6.49,2,   16.17,2,    0.85,2,   1.835,6,   0.957,6,   0.000,6,  2157.4,2,  2352.2,2,   506.7,2,      15,   0.245,6,-999.0000
74DI20040404,        A05,       5,          1,          4,2,20040405,       0000,    27.0147,   -79.6824,        534,   151.6,-999.0000,  36.7553,0,  36.7940,2,   -999.0,9,  -999.0,9,    1.55,2,    3.56,2,    0.15,2,   2.094,2,   1.200,2,   0.036,2,  -999.0,9,  2405.5,2,   420.8,2,      15,   0.565,2,-999.0000
74DI20040404,        A05,       5,          1,          5,2,20040405,       0000,    27.0147,   -79.6824,        534,    51.8,-999.0000,  36.2988,0,  36.2960,2,   -999.0,9,  -999.0,9,    1.09,2,    0.07,2,    0.00,2,   1.785,2,   1.109,2,   0.131,2,  2027.4,2,  -999.0,9,   404.8,2,      15,   1.758,2,-999.0000
74DI20040404,        A05,       5,          1,          6,2,20040405,       0000,    27.0147,   -79.6824,        534,    11.7,-999.0000,  36.2450,0,  36.2970,2,   -999.0,9,  -999.0,9,    1.07,2,    0.06,2,    0.00,2,   1.779,2,   1.090,2,   0.120,2,  2018.4,2,  -999.0,9,   405.5,2,      15,   1.783,2,-999.0000
74DI20040404,        A05,       6,          1,          1,2,20040405,       0000,    27.0153,   -79.6175,        642,   630.5,-999.0000,  34.9212,0,  34.9210,2,   -999.0,9,  -999.0,9,   22.85,2,   30.17,2,    1.98,2,   0.196,2,   0.095,2,   0.002,2,  2204.2,2,  2313.5,2,   577.0,2,      15,   0.140,2,-999.0000
74DI20040404,        A05,       6,          1,          2,2,20040405,       0000,    27.0153,   -79.6175,        642,   452.7,-999.0000,  35.3700,0,  35.3660,2,   -999.0,9,  -999.0,9,   12.59,2,   24.89,2,    1.53,2,   1.119,2,   0.488,2,   0.004,2,  2186.3,2,  -999.0,9,   576.1,2,      15,   0.224,2,-999.0000
74DI20040404,        A05,       6,          1,          3,2,20040405,       0000,    27.0153,   -79.6175,        642,   302.2,-999.0000,  35.9896,0,  35.9810,2,   -999.0,9,  -999.0,9,    6.63,2,   16.68,2,    0.95,2,   1.849,2,   0.945,2,   0.009,2,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,   0.219,2,-999.0000
74DI20040404,        A05,       6,          1,          4,2,20040405,       0000,    27.0153,   -79.6175,        642,   152.0,-999.0000,  36.7254,0,  36.7300,2,   -999.0,9,  -999.0,9,    1.46,2,    2.93,2,    0.14,2,   2.059,2,   1.154,2,   0.077,2,  -999.0,9,  -999.0,9,   409.7,2,      15,   0.792,2,-999.0000
74DI20040404,        A05,       6,          1,          5,2,20040405,       0000,    27.0153,   -79.6175,        642,    51.0,-999.0000,  36.3151,9,  36.3150,2,   -999.0,9,  -999.0,9,    1.07,2,    0.10,2,    0.00,2,   1.794,2,   1.061,2,   0.115,2,  -999.0,9,  2375.4,2,   403.1,2,      15,   1.803,2,-999.0000
74DI20040404,        A05,       6,          1,          6,2,20040405,       0000,    27.0153,   -79.6175,        642,    10.9,-999.0000,  36.2877,0,  36.2920,2,   -999.0,9,  -999.0,9,    1.17,2,    0.10,2,    0.00,2,   1.774,2,   1.093,2,   0.113,2,  -999.0,9,  2374.4,2,   402.6,2,      15,   1.811,2,-999.0000
74DI20040404,        A05,       7,          1,          1,2,20040405,       0000,    27.0155,   -79.5035,        773,   763.0,-999.0000,  34.9034,0,-999.0000,9,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,-999.000,9,-999.0000
74DI20040404,        A05,       7,          1,          2,2,20040405,       0000,    27.0155,   -79.5035,        773,   652.1,-999.0000,  34.9561,0,  34.9610,2,   -999.0,9,  -999.0,9,   20.60,2,   30.85,2,    2.06,2,   0.332,2,   0.159,2,   0.000,2,  2205.3,2,  2308.5,2,   603.1,2,      15,   0.169,2,-999.0000
74DI20040404,        A05,       7,          1,          3,2,20040405,       0000,    27.0155,   -79.5035,        773,   453.5,-999.0000,  35.6087,0,  35.6110,2,   -999.0,9,  -999.0,9,    9.86,2,   21.96,2,    1.32,2,   1.424,2,   0.747,2,   0.003,2,  2177.9,2,  2334.4,2,   542.2,2,      15,   0.240,2,-999.0000
74DI20040404,        A05,       7,          1,          4,2,20040405,       0000,    27.0155,   -79.5035,        773,   301.9,-999.0000,  36.3196,0,  36.3320,2,   -999.0,9,  -999.0,9,    3.51,2,   10.34,2,    0.55,2,   2.203,6,   1.186,6,   0.006,6,  2137.2,2,  2368.6,2,   542.2,2,      15,   0.264,6,-999.0000
74DI20040404,        A05,       7,          1,          5,2,20040405,       0000,    27.0155,   -79.5035,        773,   301.9,-999.0000,  36.3196,0,  36.3310,2,   -999.0,9,  -999.0,9,    3.61,2,   10.34,2,    0.56,2,   2.188,2,   1.230,2,   0.013,2,  2137.6,2,  2370.1,2,   445.5,2,      15,   0.257,2,-999.0000
74DI20040404,        A05,       7,          1,          6,2,20040405,       0000,    27.0155,   -79.5035,        773,   151.6,-999.0000,  36.9636,0,  36.9660,2,   -999.0,9,  -999.0,9,    1.46,2,    3.41,2,    0.00,2,   1.962,2,   1.199,2,   0.024,2,  2112.4,2,  2409.7,2,   440.7,2,      15,   0.095,2,-999.0000
74DI20040404,        A05,       7,          1,          7,2,20040405,       0000,    27.0155,   -79.5035,        773,    51.1,-999.0000,  36.2754,0,  36.2830,2,   -999.0,9,  -999.0,9,    1.17,2,    0.00,2,    0.00,2,   1.760,2,   1.142,2,   0.110,2,  2025.0,2,  2369.5,2,   403.5,2,      15,   1.796,2,-999.0000
74DI20040404,        A05,       7,          1,          8,2,20040405,       0000,    27.0155,   -79.5035,        773,    11.1,-999.0000,  35.7030,0,  36.2410,3,   -999.0,9,  -999.0,9,    1.17,2,    0.00,2,    0.00,2,   1.746,2,   1.078,2,   0.105,2,  2022.0,2,  2366.5,2,   406.7,2,      15,   1.746,2,-999.0000
74DI20040404,        A05,       8,          1,          1,2,20040405,       0000,    27.0149,   -79.3881,        686,   676.0,-999.0000,  35.3495,0,  35.3500,2,    149.8,0,  -999.0,9,   12.69,2,   21.77,2,    1.31,2,   0.945,2,   0.500,2,   0.008,2,  2177.8,2,  2326.8,2,   513.9,2,      15,   0.300,2,-999.0000
74DI20040404,        A05,       8,          1,          2,2,20040405,       0000,    27.0149,   -79.3881,        686,   655.9,-999.0000,  35.3698,0,  35.3640,2,    149.5,0,  -999.0,9,   12.49,2,   22.65,2,    1.27,2,   0.967,6,   0.513,6,   0.009,6,  2176.6,2,  -999.0,9,   524.7,2,      15,   0.295,6,-999.0000
74DI20040404,        A05,       8,          1,          3,2,20040405,       0000,    27.0149,   -79.3881,        686,   452.5,-999.0000,  36.1102,0,  36.0790,2,    150.7,0,  -999.0,9,    5.46,2,   14.05,2,    0.74,2,   1.951,2,   1.032,2,   0.008,2,  2153.0,2,  -999.0,9,   483.1,2,      15,   0.257,2,-999.0000
74DI20040404,        A05,       8,          1,          4,2,20040405,       0000,    27.0149,   -79.3881,        686,   302.3,-999.0000,  36.5056,0,  36.5080,2,    180.6,0,  -999.0,9,    2.24,2,    6.73,2,    0.26,2,   2.317,2,   1.221,2,   0.014,2,  2126.9,2,  2381.8,2,   414.5,2,      15,   0.283,2,-999.0000
74DI20040404,        A05,       8,          1,          5,2,20040405,       0000,    27.0149,   -79.3881,        686,   151.7,-999.0000,  36.9244,0,  36.9370,2,    164.0,0,  -999.0,9,    1.46,2,    3.31,2,    0.09,2,   1.952,2,   1.112,2,   0.044,2,  2110.0,2,  2409.5,2,   442.2,2,      15,   0.102,2,-999.0000
74DI20040404,        A05,       8,          1,          6,2,20040405,       0000,    27.0149,   -79.3881,        686,    51.5,-999.0000,  36.2465,0,  36.2440,2,    203.5,0,  -999.0,9,    1.17,2,    0.00,2,    0.00,2,   1.730,2,   1.062,2,   0.118,2,  2024.1,2,  2368.4,2,   409.3,2,      15,   1.705,2,-999.0000
74DI20040404,        A05,       8,          1,          7,2,20040405,       0000,    27.0149,   -79.3881,        686,    11.6,-999.0000,  36.2426,0,  36.2420,2,    204.6,0,  -999.0,9,    1.27,2,    0.00,2,    0.00,2,   1.727,2,   1.069,2,   0.108,2,  2023.5,2,  2368.3,2,   408.2,2,      15,   1.734,2,-999.0000
