EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,SF6,SF6_FLAG_W,PH,PH_FLAG_W,ALKALI,ALKALI_FLAG_W,TCARBN,TCARBN_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,BARIUM,BARIUM_FLAG_W,CALCIUM,CALCIUM_FLAG_W,CHLORA,CHLORA_FLAG_W,TOC,TOC_FLAG_W,CU,CU_FLAG_W,NI,NI_FLAG_W,THETA,SIG0
,,,,,,,,,,,METERS,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,,,UMOL/KG,,UMOL/KG,,/MILLE,,/MILLE,,/MILLE,NMOL/KG,,MMOL/KG,,UG/KG,,UMOL/L,,UMOL/L,,UMOL/L,,ITS-90,KG/M^3
   49NZ199905_1,   P01C,5,1,10,10,2,19990825,548,42.6497,145.6995,2408,998.8,2,2.8573,2,34.3744,2,34.3749,2,23.08,2,38.17,2,142.79,2,43.73,3,0,2,3.13,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.7908,27.4049
   49NZ199905_1,   P01C,5,1,9,9,2,19990825,548,42.6497,145.6995,2408,1098.9,2,2.6883,2,34.4038,2,34.4047,2,22.78,2,35.51,2,148.56,2,43.94,3,0,2,3.13,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.6157,27.444
   49NZ199905_1,   P01C,5,1,8,8,2,19990825,548,42.6497,145.6995,2408,1249.3,2,2.5102,2,34.4582,2,34.4591,2,27.86,2,50.68,2,153.41,2,43.81,3,0,2,3.08,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.4278,27.5035
   49NZ199905_1,   P01C,5,1,7,7,2,19990825,548,42.6497,145.6995,2408,1499.3,2,2.2806,2,34.5204,2,34.5557,4,38.77,2,67.76,2,159.12,3,42.79,3,0,3,3,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.1812,27.6012
   49NZ199905_1,   P01C,5,1,6,6,2,19990825,548,42.6497,145.6995,2408,1749.4,2,2.1144,2,34.557,2,34.5574,2,49.2,2,64.71,2,158.94,2,42.82,3,0,2,3.01,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.9972,27.6173
   49NZ199905_1,   P01C,5,1,5,5,2,19990825,548,42.6497,145.6995,2408,1999.7,2,1.9412,2,34.5926,2,34.593,2,64.93,2,84.4,2,160.43,2,41.75,3,0,2,2.93,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.8058,27.6607
   49NZ199905_1,   P01C,5,1,4,4,2,19990825,548,42.6497,145.6995,2408,2249.3,2,1.7932,2,34.6201,2,34.6205,2,82.57,2,96.21,2,159.57,2,40.59,3,0,2,2.84,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.6389,27.6954
   49NZ199905_1,   P01C,5,1,3,3,2,19990825,548,42.6497,145.6995,2408,2249.9,2,1.7932,2,34.62,2,34.6199,2,82.57,2,95.43,2,160.01,2,40.61,3,0,2,2.85,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.6389,27.6949
   49NZ199905_1,   P01C,5,1,2,2,2,19990825,548,42.6497,145.6995,2408,2249.4,2,1.7923,2,34.6201,2,34.6199,2,82.52,2,95.74,2,160.13,2,40.6,3,0,2,2.84,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.638,27.695
   49NZ199905_1,   P01C,5,1,1,1,2,19990825,548,42.6497,145.6995,2408,2409.2,2,1.7113,2,34.6333,2,34.6343,2,92.47,2,104.82,2,160.81,2,39.89,3,0.01,2,2.81,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.5445,27.7135
   49NZ199905_1,   P01C,6,1,0,0,9,19990825,931,42.4838,145.8415,3165,-999,9,-999,9,-999,9,32.7158,2,-999,9,-999,5,0.68,2,0.33,2,0.02,2,0.01,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
   49NZ199905_1,   P01C,6,1,24,24,2,19990825,931,42.4838,145.8415,3165,10.9,2,15.1009,2,32.7522,2,32.7824,3,254.68,2,316.43,2,1.69,3,1.28,3,0.05,3,0.23,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,15.0993,24.2421
   49NZ199905_1,   P01C,6,1,23,23,2,19990825,931,42.4838,145.8415,3165,51.1,2,3.8752,2,33.3204,2,33.3156,2,243.61,2,290.42,2,26.37,2,18.09,6,0.33,2,1.43,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,3.8719,26.4592
   49NZ199905_1,   P01C,6,1,22,22,2,19990825,931,42.4838,145.8415,3165,99.9,2,3.7731,2,33.4073,2,33.4094,2,237.23,2,283.39,2,31.2,2,19.28,2,0.02,2,1.47,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,3.7666,26.5442
   49NZ199905_1,   P01C,6,1,21,21,2,19990825,931,42.4838,145.8415,3165,150.2,2,1.8028,2,33.2856,2,33.2888,6,223.86,2,266.89,2,47.64,2,25.78,2,0.01,2,2,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.7954,26.6159
   49NZ199905_1,   P01C,6,1,20,20,2,19990825,931,42.4838,145.8415,3165,200,2,1.5127,2,33.3214,2,33.3273,2,201.49,2,240.77,2,56.82,2,28.98,2,0.01,2,2.2,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.5033,26.6675
   49NZ199905_1,   P01C,6,1,19,19,2,19990825,931,42.4838,145.8415,3165,251.4,2,2.07,2,33.4588,2,33.46,2,157.16,2,191,2,69.62,2,33.41,2,0,2,2.5,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.0568,26.7336
   49NZ199905_1,   P01C,6,1,18,18,2,19990825,931,42.4838,145.8415,3165,300.3,2,2.346,2,33.5747,2,33.5788,2,128.31,2,161.84,2,75.44,2,34.89,2,0,2,2.59,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.3294,26.8074
   49NZ199905_1,   P01C,6,1,17,17,2,19990825,931,42.4838,145.8415,3165,350.1,2,2.9151,2,33.7352,2,33.7363,2,82.98,2,106.21,2,88.72,2,39.95,2,0,2,2.89,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.8938,26.8858
   49NZ199905_1,   P01C,6,1,16,16,2,19990825,931,42.4838,145.8415,3165,398.9,2,3.3559,2,33.8781,2,33.8834,6,55.01,2,72.93,2,96.23,2,42.23,6,0,2,3,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,3.33,26.9635
