EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,SBE35,SBE35_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OPTOXY,OPTOXY_FLAG_W,DWNPRS,DWNPRS_FLAG_W,DWNOXY,DWNOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,SILUNC,NITRAT,NITRAT_FLAG_W,NRAUNC,NITRIT,NITRIT_FLAG_W,NRIUNC,PHSPHT,PHSPHT_FLAG_W,PHPUNC,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH,PH_FLAG_W,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,THETA,SIG0
,,,,,,,,UTC,DEG,DEG,METERS,DBAR,,ITS-90,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,DBAR,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,/MILLE,,/MILLE,/MILLE,,/MILLE,DEG C,KG/M^3
    49NZ20060120,   P03W,   370,  1,      8, X12014,9,20060120,0659, 26.3885, 126.7037,  328,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,-999.0000,9,  -999.00,9,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,-999.0000,-999.0000
    49NZ20060120,   P03W,   370,  1,      7, X12013,9,20060120,0659, 26.3885, 126.7037,  328,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,-999.0000,9,  -999.00,9,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,-999.0000,-999.0000
    49NZ20060120,   P03W,   370,  1,      6, X12048,9,20060120,0659, 26.3885, 126.7037,  328,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,-999.0000,9,  -999.00,9,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,-999.0000,-999.0000
    49NZ20060120,   P03W,   370,  1,      5, X12047,9,20060120,0659, 26.3885, 126.7037,  328,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,-999.0000,9,  -999.00,9,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,-999.0000,-999.0000
    49NZ20060120,   P03W,   370,  1,      4, X12046,9,20060120,0659, 26.3885, 126.7037,  328,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,-999.0000,9,  -999.00,9,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,-999.0000,-999.0000
    49NZ20060120,   P03W,   370,  1,      3, X12003,2,20060120,0659, 26.3885, 126.7037,  328,     24.3,2,  22.2565,2,  22.25741,2,  34.7976,2,  34.7961,2,   197.66,1,   215.35,2,     25.5,2,   218.21,2,   215.71,2,     1.37,2,     0.12,     0.04,2,     0.03,     0.00,2,     0.01,    0.049,2,    0.035,    1.822,2,    1.023,2, -999.000,5,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,  22.2517,  23.9933
    49NZ20060120,   P03W,   370,  1,      2, X12044,2,20060120,0659, 26.3885, 126.7037,  328,     73.5,2,  22.2321,2,  22.23224,2,  34.7986,2,  34.7969,2,   197.19,1,   214.06,2,     72.6,2,   217.10,2,   215.31,2,     1.36,2,     0.12,     0.06,2,     0.03,     0.01,2,     0.01,    0.052,2,    0.033,    1.818,2,    1.031,2, -999.000,5,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,  22.2175,  24.0037
    49NZ20060120,   P03W,   370,  1,      1, X12051,2,20060120,0659, 26.3885, 126.7037,  328,    309.1,2,  16.6130,2,  16.62783,2,  34.7242,2,  34.7285,6,   180.77,1,   195.90,2,    310.5,2,   199.58,2,   196.40,2,     6.04,2,     0.13,     6.44,2,     0.05,     0.00,2,     0.01,    0.474,2,    0.013,    2.339,2,    1.246,2,    0.072,4,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,  16.5627,  25.4054
    49NZ20060120,   P03W,   372,  1,      0,   -999,9,20060120,0858, 26.4503, 126.6257, 1365,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,  34.8124,2,  -999.00,9,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,-999.0000,-999.0000
    49NZ20060120,   P03W,   372,  1,     36, X12042,2,20060120,0858, 26.4503, 126.6257, 1365,      9.8,2,  22.3114,2,  22.31152,2,  34.7923,2,  34.7913,2,   198.38,1,   216.50,2,     10.4,2,   219.04,2,   217.24,2,     1.42,2,     0.12,     0.04,2,     0.03,     0.00,2,     0.01,    0.044,2,    0.038,    1.769,2,    1.048,2,    0.128,2,   1963.2,2,   2280.9,2,   8.0792,6, -999.000,9, -999.000,   -999.0,9,   -999.0,  22.3094,  23.9730
