BOTTLE,20161130CCHSIORJL
#Change SECT to SECT_ID
#Change DEPTH units from M to METERS
#Change CFC-11 empty data value from 9.00 to -999.000 for 107,2,USW (STNNBR,CASTNO,BTLNBR)
#Change CFC-12 empty data value from 9.00 to -999.000 for 107,2,USW (STNNBR,CASTNO,BTLNBR)
#BOTTLE,20070403JAMSTECIORGC
#Software_Version: whp_btl_exchange.rb_v2.0 (ogc_group)
#ORIGINAL_SUM_FILE: 18DD9910_1_sum.txt Fri Mar 16 17:48:04 +0900 2007
#ORIGINAL_HYD_FILE: 18DD9910_1_sea.txt Tue Apr 03 17:31:34 +0900 2007
#DEPTH_TYPE: UNC
#EVENT_CODE: BE
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO3+NO2,NO3+NO2_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,DELC13,DELC13_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,UTC,DEG,DEG,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,/MILLE,,UMOL/KG,,UMOL/KG,
    18DD9910_1,   P1E,   112,  1,     67,      5,2,19990603,1136, 46.9988,-126.0012, 2565,   1749.8,   2.1653,  34.5660,2,    52.89,2,   167.40,2,    42.37,2,     2.99,2,     0.04,3,     0.09,3, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   112,  1,     66,      4,2,19990603,1136, 46.9988,-126.0012, 2565,   2004.5,   1.9018,  34.6010,2,    65.39,2,   174.68,2,    41.78,2,     2.92,2,     0.15,4,     8.58,4, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   112,  1,     65,      3,2,19990603,1136, 46.9988,-126.0012, 2565,   2250.5,   1.7838,  34.6230,2,    76.66,2,   178.91,2,    40.76,2,     2.86,2,     0.00,2,     0.00,2, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   112,  1,     64,      2,2,19990603,1136, 46.9988,-126.0012, 2565,   2500.0,   1.7430,  34.6400,2,    80.52,2,   187.70,2,    39.58,2,     2.86,2,     0.00,2,     0.00,2, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   112,  1,     63,      1,2,19990603,1136, 46.9988,-126.0012, 2565,   2567.7,   1.7397,  34.6420,2,    79.55,2,   189.96,2,    40.00,2,     2.87,2,     0.00,3,     0.75,4, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   111,  2,     L9,    USW,2,19990603,-999, 47.0020,-126.4697,   -9,      5.0,-999.0000,  32.5190,2,  -999.00,9,     8.55,2,     2.25,2,     0.53,2,  -999.00,9,  -999.00,9, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   111,  1,   102a,     20,2,19990603,1618, 47.0020,-126.4697, 2563,      3.1,  11.5590,  32.6080,2,   284.17,2,     8.63,2,     2.60,2,     0.58,2,     3.31,2,     1.70,2, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   111,  1,    101,     19,2,19990603,1618, 47.0020,-126.4697, 2563,     11.0,  11.5687,  32.6460,2,   284.22,2,     8.63,2,     2.60,2,     0.58,2,     3.40,6,     1.80,6, -999.000,1,   1984.3,2,   2191.2,2
    18DD9910_1,   P1E,   111,  1,    100,     18,2,19990603,1618, 47.0020,-126.4697, 2563,     24.2,  11.3943,  32.6690,2,   286.04,2,     8.46,2,     2.66,2,     0.57,2,     3.37,2,     1.74,2, -999.000,1,   1982.5,2,   2184.7,2
    18DD9910_1,   P1E,   111,  1,     99,     17,2,19990603,1618, 47.0020,-126.4697, 2563,     49.0,   8.8433,  32.7750,2,   297.14,2,     9.98,2,     6.51,2,     0.79,2,     3.86,2,     2.75,3, -999.000,1,   2014.3,2,   2190.3,2
    18DD9910_1,   P1E,   111,  1,     98,     16,2,19990603,1618, 47.0020,-126.4697, 2563,     75.1,   8.3704,  32.8440,2,   288.38,2,    10.49,2,     7.34,2,     0.86,2,     3.78,2,     1.97,2, -999.000,1,   2020.1,2,   2194.4,2
    18DD9910_1,   P1E,   111,  1,     97,     15,2,19990603,1618, 47.0020,-126.4697, 2563,    100.1,   8.4315,  33.2840,2,   198.25,2,    21.18,2,    18.43,2,     1.49,2,     3.55,2,     1.71,2, -999.000,1,   2099.5,2,   2207.0,2
    18DD9910_1,   P1E,   111,  1,     96,     14,2,19990603,1618, 47.0020,-126.4697, 2563,    150.3,   7.6734,  33.8690,2,   120.27,2,    36.89,2,    29.01,2,     2.10,2,     2.81,2,     1.36,2, -999.000,1,   2181.8,2,   2253.6,2
