EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
  18HU20090517, AR07W,    23,  1, 351506,      3,2,20090520,1144, 58.0197, -49.4933, 3447,    100.3,   3.5376,  34.8228,2,-999.0000,9,    369.3,3,    316.1,2,     7.40,6,    14.41,6,     0.96,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.5310
  18HU20090517, AR07W,    23,  1, 351507,      4,2,20090520,1144, 58.0197, -49.4933, 3447,     79.8,   3.5359,  34.8225,2,-999.0000,9,    369.2,3,    309.6,2,     7.40,6,    14.53,6,     0.96,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.5307
  18HU20090517, AR07W,    23,  1, 351508,      5,2,20090520,1144, 58.0197, -49.4933, 3447,     61.0,   3.5388,  34.8214,2,-999.0000,9,    369.8,3,    309.6,2,     7.36,6,    14.54,6,     0.95,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.5348
  18HU20090517, AR07W,    23,  1, 351509,      6,2,20090520,1144, 58.0197, -49.4933, 3447,     50.8,   3.5789,  34.8136,2,-999.0000,9,    372.4,3,    312.7,2,     7.21,6,    14.02,6,     0.93,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.5756
  18HU20090517, AR07W,    23,  1, 351510,      7,2,20090520,1144, 58.0197, -49.4933, 3447,     40.4,   3.6818,  34.8027,2,-999.0000,9,    377.3,3,    318.0,2,     7.11,6,    13.35,6,     0.89,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.6791
  18HU20090517, AR07W,    23,  1, 351511,      8,2,20090520,1144, 58.0197, -49.4933, 3447,     29.9,   3.6813,  34.7968,2,-999.0000,9,    378.8,3,    319.3,2,     6.92,6,    13.22,6,     0.87,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.6793
  18HU20090517, AR07W,    23,  1, 351512,      9,2,20090520,1144, 58.0197, -49.4933, 3447,     30.4,   3.6810,  34.7965,2,-999.0000,9,    379.0,3,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.6790
  18HU20090517, AR07W,    23,  1, 351513,     10,2,20090520,1144, 58.0197, -49.4933, 3447,     19.7,   3.6947,  34.7935,2,-999.0000,9,    380.4,3,    321.4,2,     6.88,6,    12.95,6,     0.85,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.6934
  18HU20090517, AR07W,    23,  1, 351514,     11,2,20090520,1144, 58.0197, -49.4933, 3447,      9.9,   3.8605,  34.7939,2,-999.0000,9,    379.4,3,    321.3,2,     6.88,6,    13.18,6,     0.85,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.8598
  18HU20090517, AR07W,    23,  1, 351515,     12,2,20090520,1144, 58.0197, -49.4933, 3447,      1.7,   3.9528,  34.7928,2,-999.0000,9,    378.5,3,    319.1,2,     6.94,6,    13.35,6,     0.86,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.9527
  18HU20090517, AR07W,    23,  1, 351516,     13,2,20090520,1144, 58.0197, -49.4933, 3447,      2.1,   3.9650,  34.7924,2,-999.0000,9,    378.2,3,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.9649
  18HU20090517, AR07W,    27,  1, 351517,      1,2,20090520,2131, 59.7463, -49.1708, 3241,   3264.5,   1.8233,  34.8957,2,  34.8987,2,    387.2,3,    292.3,2,     9.49,6,    14.23,6,     0.91,6,    4.177,2,    2.227,4,    0.317,2,    4.349,2,   2164.8,2,   2293.9,2,   1.5720
  18HU20090517, AR07W,    27,  1, 351518,      2,2,20090520,2131, 59.7463, -49.1708, 3241,   3202.7,   2.0478,  34.8969,2,  34.8999,2,    381.1,3,    288.0,2,    10.82,6,    14.76,6,     0.95,6,    3.874,2,    2.034,4,    0.284,2,    3.965,2,   2161.2,2,   2303.1,2,   1.7975
  18HU20090517, AR07W,    27,  1, 351519,      3,2,20090520,2131, 59.7463, -49.1708, 3241,   3119.8,   2.1945,  34.8989,2,  34.9022,2,    376.3,3,    285.4,2,    11.67,6,    15.18,6,     0.96,6,    3.663,2,    1.909,4,    0.265,2,    3.825,2,   2165.0,2,   2310.4,2,   1.9493
  18HU20090517, AR07W,    27,  1, 351520,      4,2,20090520,2131, 59.7463, -49.1708, 3241,   3020.8,   2.3591,  34.9033,2,  34.9066,2,    371.4,3,    282.3,2,    12.64,6,    15.75,6,     0.99,6,    3.414,2,    1.796,4,    0.257,2,    3.595,2,   2162.9,2,   2310.0,2,   2.1202
  18HU20090517, AR07W,    27,  1, 351521,      5,2,20090520,2131, 59.7463, -49.1708, 3241,   2900.2,   2.4904,  34.9078,2,  34.9117,2,    367.0,3,    280.0,2,    12.64,6,    15.69,6,     1.00,6,    3.166,2,    1.568,4,    0.253,2,    3.319,2,   2161.6,2,   2307.3,2,   2.2608
  18HU20090517, AR07W,    27,  1, 351522,      6,2,20090520,2131, 59.7463, -49.1708, 3241,   2770.1,   2.6244,  34.9124,2,  34.9151,6,    364.3,3,    279.2,2,    12.16,6,    15.74,6,     0.98,6,    3.235,2,    1.631,4,    0.247,2,    3.362,2,   2162.4,2,   2306.4,2,   2.4051
  18HU20090517, AR07W,    27,  1, 351523,      7,2,20090520,2131, 59.7463, -49.1708, 3241,   2623.1,   2.7782,  34.9156,2,  34.9188,2,    360.2,3,    277.3,2,    12.43,6,    16.08,6,     0.99,6,    3.108,2,    1.580,4,    0.229,2,    3.221,2,   2159.4,2,   2304.8,2,   2.5704
  18HU20090517, AR07W,    27,  1, 351524,      8,2,20090520,2131, 59.7463, -49.1708, 3241,   2454.8,   2.9030,  34.9131,2,  34.9165,6,    356.9,3,    277.2,2,    11.98,6,    16.24,6,     1.00,6,    3.094,2,    1.540,4,    0.222,2,    3.214,2,   2156.5,2,   2306.3,2,   2.7093
  18HU20090517, AR07W,    27,  1, 351525,      9,2,20090520,2131, 59.7463, -49.1708, 3241,   2261.2,   3.0374,  34.9120,2,  34.9170,2,    354.6,3,    277.0,2,    11.25,6,    16.25,6,     1.01,6,    3.240,2,    1.603,4,    0.235,2,    3.309,2,   2157.1,2,   2303.0,2,   2.8600
  18HU20090517, AR07W,    27,  1, 351526,     10,2,20090520,2131, 59.7463, -49.1708, 3241,   2060.5,   3.1741,  34.9118,2,  34.9148,2,    351.9,3,    277.0,2,    10.76,6,    16.46,6,     1.00,6,    3.524,2,    1.798,4,    0.259,2,    3.563,2,   2160.1,2,   2305.3,2,   3.0134
  18HU20090517, AR07W,    27,  1, 351527,     11,2,20090520,2131, 59.7463, -49.1708, 3241,   1850.9,   3.3164,  34.9089,2,  34.9119,2,    348.4,3,    275.9,2,    10.62,6,    16.69,6,     1.01,6,    3.605,2,    1.855,4,    0.244,2,    3.625,2,   2160.6,2,   2302.8,2,   3.1729
  18HU20090517, AR07W,    27,  1, 351528,     12,2,20090520,2131, 59.7463, -49.1708, 3241,   1642.8,   3.4851,  34.9157,2,  34.9190,2,    344.5,3,    274.4,6,    10.31,6,    16.61,6,     1.01,6,    3.763,2,    2.070,4,    0.262,2,    3.660,2,   2160.5,2,   2311.9,2,   3.3582
  18HU20090517, AR07W,    27,  1, 351529,     13,2,20090520,2131, 59.7463, -49.1708, 3241,   1428.4,   3.6409,  34.9138,2,  34.9052,2,    342.3,3,    278.9,2,     9.96,6,    16.65,6,     1.02,6,    3.978,2,    2.243,4,    0.326,2,    3.798,2,   2160.8,2,   2301.9,2,   3.5312
  18HU20090517, AR07W,    27,  1, 351530,     14,2,20090520,2131, 59.7463, -49.1708, 3241,   1233.8,   3.6886,  34.9024,2,  34.9078,2,    344.7,3,    282.5,2,     9.29,6,    16.34,6,     1.00,6,    4.320,2,    2.547,4,    0.325,2,    4.187,2,   2161.5,2,   2307.1,2,   3.5952
  18HU20090517, AR07W,    27,  1, 351531,     15,2,20090520,2131, 59.7463, -49.1708, 3241,   1030.1,   3.7656,  34.8969,2,  34.9011,2,    346.7,3,    292.6,2,     8.92,6,    16.36,6,     0.99,6,    4.544,2,    2.783,4,    0.362,2,    4.547,2,   2158.3,2,   2305.6,2,   3.6886
  18HU20090517, AR07W,    27,  1, 351532,     16,2,20090520,2131, 59.7463, -49.1708, 3241,    841.8,   3.6302,  34.8617,2,  34.8655,2,    355.4,3,    292.8,2,     8.07,6,    15.81,6,     0.97,6,    4.864,2,    3.123,4,    0.434,2,    4.924,2,   2158.4,2,   2300.3,2,   3.5694
  18HU20090517, AR07W,    27,  1, 351533,     17,2,20090520,2131, 59.7463, -49.1708, 3241,    665.7,   4.0558,  34.9172,2,  34.9204,2,    354.3,3,    292.5,2,     7.99,6,    15.83,6,     0.96,6,    4.807,2,    2.936,4,    0.401,2,    5.059,2,   2157.8,2,   2308.6,2,   4.0064
  18HU20090517, AR07W,    27,  1, 351534,     18,2,20090520,2131, 59.7463, -49.1708, 3241,    480.3,   4.2055,  34.9299,2,  34.9337,2,    353.6,3,    293.9,2,     7.84,6,    15.63,6,     0.94,6,    4.802,2,    3.025,4,    0.410,2,    5.089,2,   2157.1,2,   2302.7,2,   4.1699
  18HU20090517, AR07W,    27,  1, 351535,     19,2,20090520,2131, 59.7463, -49.1708, 3241,    332.8,   3.7891,  34.8558,2,  34.8623,2,    359.5,3,    298.8,2,     7.44,6,    15.09,6,     0.92,6,    4.987,2,    3.156,4,    0.445,2,    5.166,2,   2156.1,2,   2306.4,2,   3.7660
