BOTTLE,20161130CCHSIORJL
#Change EXPOCODE from 49MR99K05_2 to 49NZ199909_2
#Change SECT to SECT_ID
#Change DEPTH units from M to METERS
#Change THETA units from ITS-90 to DEG C
#Change SIG0 units from KG/CUM to KG/M^3
#BOTTLE,20070702JAMSTECIORGC
#Software_Version: whp_btl_exchange.rb_v2.0 (ogc_group)
#ORIGINAL_SUM_FILE: 49MR99K05_2_sum.txt Fri Mar 16 17:26:12 +0900 2007
#ORIGINAL_HYD_FILE: 49MR99K05_2_sea.txt Mon Jul 02 17:33:34 +0900 2007
#DEPTH_TYPE: UNC
#EVENT_CODE: BO
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,TCARBN,TCARBN_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,THETA,SIG0
,,,,,,,,UTC,DEG,DEG,METERS,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,/MILLE,,/MILLE,DEG C,KG/M^3
   49NZ199909_2,   P1H,     7,  1,      0,      0,9,19991001,1434, 42.2873, 146.0547, 4157,   -999.0,9,-999.0000,9,-999.0000,9,  32.9207,2,  -999.00,9,  -999.00,5,     2.46,2,     0.15,2,     0.00,2,     0.21,2,   2233.7,3,   1955.6,3,      8.3,2,      3.2,-999.0000,-999.0000
   49NZ199909_2,   P1H,     7,  1,     16,     16,2,19991001,1434, 42.2873, 146.0547, 4157,     10.2,2,  17.4602,2,  32.8978,1,  32.9233,3,  -999.00,9,   253.14,2,     2.73,3,     0.19,3,     0.00,3,     0.15,3,   2229.1,3,   1958.2,3,     18.3,2,      3.2,  17.4585,  23.8136
   49NZ199909_2,   P1H,     7,  1,     15,     15,2,19991001,1434, 42.2873, 146.0547, 4157,     50.3,2,   7.4037,2,  33.5228,1,  33.5000,3,  -999.00,9,   265.12,2,    18.39,3,    13.60,3,     0.00,3,     1.15,3,   2250.8,3,   2089.8,3,     26.1,2,      3.0,   7.3990,  26.1824
   49NZ199909_2,   P1H,     7,  1,     14,     14,2,19991001,1434, 42.2873, 146.0547, 4157,     99.8,2,   3.2569,2,  33.2954,1,  33.2957,2,  -999.00,9,   284.97,2,    32.84,2,    21.33,2,     0.00,2,     1.67,2,   2245.2,3,   2127.6,3,     -8.8,2,      2.7,   3.2508,  26.5023
   49NZ199909_2,   P1H,     7,  1,     13,     13,2,19991001,1434, 42.2873, 146.0547, 4157,    200.9,2,   2.6318,2,  33.4632,1,  33.4598,3,  -999.00,9,   217.06,2,    52.79,3,    28.95,3,     0.00,3,     2.19,3,   2258.1,3,   -999.0,9,    -45.2,2,      2.8,   2.6204,  26.6884
   49NZ199909_2,   P1H,     7,  2,     12,     12,2,19991001,1549, 42.2942, 146.0555, 4144,    299.7,2,   3.4562,2,  33.7747,1,  33.7789,2,  -999.00,9,   117.82,2,    74.18,2,    36.33,2,     0.00,2,     2.65,2,   2283.9,3,   2260.0,3,    -88.8,2,      3.1,   3.4368,  26.8702
   49NZ199909_2,   P1H,     7,  2,     11,     11,2,19991001,1549, 42.2942, 146.0555, 4144,    400.2,2,   3.4541,2,  33.9440,1,  33.9485,2,  -999.00,9,    61.40,2,    91.93,2,    41.78,2,     0.00,2,     2.97,2,   2304.3,3,   2307.9,3,   -117.9,2,      2.6,   3.4278,  27.0062
   49NZ199909_2,   P1H,     7,  2,     10,     10,2,19991001,1549, 42.2942, 146.0555, 4144,    599.9,2,   3.2628,2,  34.1641,1,  34.1685,2,  -999.00,9,    30.22,2,   114.46,2,    44.05,2,     0.00,2,     3.12,2,   2331.4,3,   2344.5,3,   -156.9,2,      2.5,   3.2231,  27.2009
   49NZ199909_2,   P1H,     7,  2,      9,      9,2,19991001,1549, 42.2942, 146.0555, 4144,    799.9,2,   3.1355,2,  34.3139,1,  34.3195,2,  -999.00,9,    34.39,2,   124.34,2,    43.33,2,     0.00,2,     3.06,2,   2354.1,3,   2353.3,3,   -182.2,2,      2.5,   3.0818,  27.3344
   49NZ199909_2,   P1H,     7,  2,      8,      8,2,19991001,1549, 42.2942, 146.0555, 4144,    999.8,2,   2.7499,2,  34.3993,1,  34.4049,2,  -999.00,9,    35.08,2,   136.26,3,    43.73,2,     0.00,2,     3.08,3,   2368.3,3,   2365.8,3,   -202.5,2,      3.2,   2.6841,  27.4382
