EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,MCHFRM,MCHFRM_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,DEG C
  18HU20100513, AR07W,    16,  1, 369151,      2,2,20100517,1006, 57.8012, -51.3410, 3548,   3592.0,   1.7106,  34.8905,2,  34.8920,2,    298.9,2,    148.7,4,     9.81,6,    14.06,6,     1.02,6,     0.13,6,    4.170,2,    1.872,2,    0.322,2,    4.641,2,    5.372,2,   2163.3,2,   2314.5,2,   7.9854,2,     1.73,   1.4283
  18HU20100513, AR07W,    16,  1, 369152,      3,2,20100517,1006, 57.8012, -51.3410, 3548,   3492.0,   1.9412,  34.8950,2,  34.8963,2,    294.8,2,   2066.6,4,    10.38,6,    14.36,6,     1.04,6,     0.18,6,    3.824,2,    1.958,2,    0.295,2,    4.259,2,    5.017,2,   2162.1,2,   2312.2,2,   7.9853,2,     1.94,   1.6636
  18HU20100513, AR07W,    16,  1, 369153,      4,2,20100517,1006, 57.8012, -51.3410, 3548,   3379.0,   2.1458,  34.8993,2,  34.8995,2,    290.8,2,    180.3,4,    11.89,6,    14.82,6,     1.07,6,     0.15,6,    3.455,2,    1.664,2,    0.228,2,    3.831,2,    5.318,2,   2162.3,2,   2317.9,2,   7.9974,2,     2.15,   1.8750
  18HU20100513, AR07W,    16,  1, 369154,      5,2,20100517,1006, 57.8012, -51.3410, 3548,   3250.0,   2.3296,  34.9040,2,  34.9040,2,    286.3,2,    196.1,4,    13.34,6,    15.43,6,     1.10,6,     0.19,6,    3.086,2,    1.254,2,    0.206,2,    3.546,2,    5.543,2,   2164.0,2,   2317.4,2,   7.9959,2,     2.33,   2.0679
  18HU20100513, AR07W,    16,  1, 369155,      6,2,20100517,1006, 57.8012, -51.3410, 3548,   3121.0,   2.4773,  34.9096,2,  34.9102,6,    283.0,2,   -999.0,9,    13.90,6,    15.80,6,     1.12,6,     0.21,6,    2.795,2,    1.018,3,    0.177,2,    3.198,2,    5.265,2,   2163.0,2,   2324.8,2,   7.9956,2,     2.48,   2.2255
  18HU20100513, AR07W,    16,  1, 369156,      7,2,20100517,1006, 57.8012, -51.3410, 3548,   2940.0,   2.6657,  34.9178,2,  34.9182,2,    280.8,2,    194.9,4,    13.47,6,    15.95,6,     1.13,6,     0.24,6,    2.757,2,    1.322,2,    0.169,2,    3.082,2,    5.607,2,   2164.3,2,   2318.4,2,   8.0096,2,     2.67,   2.4284
  18HU20100513, AR07W,    16,  1, 369157,      8,2,20100517,1006, 57.8012, -51.3410, 3548,   2741.0,   2.8319,  34.9197,2,  34.9200,2,    280.2,2,    187.9,4,    12.77,6,    15.98,6,     1.13,6,     0.24,6,    2.776,2,    1.052,2,    0.172,2,    3.085,2,    5.862,2,   2162.5,2,   2325.5,2,   8.0046,2,     2.83,   2.6113
  18HU20100513, AR07W,    16,  1, 369158,      9,2,20100517,1006, 57.8012, -51.3410, 3548,   2521.0,   2.9654,  34.9163,2,  34.9167,2,    279.8,2,   -999.0,9,    12.07,6,    16.09,6,     1.14,6,      0.2,6,    0.000,4,    0.000,4, -999.000,9,    0.000,2,    0.000,2,   2162.6,2,   2321.5,2,   8.0145,2,     2.97,   2.7641
  18HU20100513, AR07W,    16,  1, 369159,     10,2,20100517,1006, 57.8012, -51.3410, 3548,   2292.0,   3.1222,  34.9131,2,  34.9129,2,    280.0,2,   -999.0,9,    11.50,6,    16.31,6,     1.14,6,     0.08,6,    3.089,2,    1.214,2,    0.185,2,    3.423,2,    6.774,2,   2162.4,2,   2327.0,2,   8.0207,2,     3.13,   2.9404
  18HU20100513, AR07W,    16,  1, 369160,     11,2,20100517,1006, 57.8012, -51.3410, 3548,   2040.0,   3.2883,  34.9103,2,  34.9116,6,    279.4,2,    194.3,4,    11.02,6,    16.43,6,     1.15,6,     0.17,6,    3.285,2,    1.615,2,    0.224,2,    3.546,2,    6.921,2,   2161.9,2,   2319.3,2,   8.0237,2,     3.30,   3.1278
