,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,XMISS,XMISS_FLAG_W,FLUOR,FLUOR_FLAG_W,PAR,PAR_FLAG_W
64,  09AR20120105,  I09S,3.0,1.0,8.0,8.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,    199.7,  -1.7564,  34.4132,2.0,  34.4131,2.0,    304.7,2.0,    302.7,2.0,    75.80,2.0,    30.41,2.0,     2.08,2.0,    96.59,2.0,   -0.152,2.0,    0.000,2.0
65,  09AR20120105,  I09S,3.0,1.0,7.0,7.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,    300.2,  -1.7518,  34.4361,2.0,-999.0000,9.0,    302.5,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    96.59,2.0,   -0.166,2.0,    0.000,2.0
66,  09AR20120105,  I09S,3.0,1.0,6.0,6.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,    300.3,  -1.7526,  34.4362,2.0,-999.0000,9.0,    302.5,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    96.59,2.0,   -0.156,2.0,    0.000,2.0
67,  09AR20120105,  I09S,3.0,1.0,5.0,5.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,    300.3,  -1.7535,  34.4360,2.0,-999.0000,9.0,    302.5,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    96.59,2.0,   -0.171,2.0,    0.000,2.0
68,  09AR20120105,  I09S,3.0,1.0,4.0,4.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,    300.1,  -1.7551,  34.4357,2.0,  34.4343,2.0,    302.5,2.0,    300.4,2.0,    76.10,2.0,    30.46,2.0,     2.10,2.0,    96.59,2.0,   -0.121,2.0,    0.000,2.0
69,  09AR20120105,  I09S,3.0,1.0,3.0,3.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,    450.7,  -1.8523,  34.4822,2.0,  34.4811,2.0,    305.0,2.0,    303.3,2.0,    76.50,2.0,    30.48,2.0,     2.08,2.0,    96.58,2.0,   -0.178,2.0,    0.000,2.0
70,  09AR20120105,  I09S,3.0,1.0,2.0,2.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,    600.4,  -1.8975,  34.5498,2.0,  34.5486,2.0,    311.5,2.0,    311.4,2.0,    76.00,2.0,    30.40,2.0,     2.09,2.0,    96.59,2.0,   -0.178,2.0,    0.000,2.0
71,  09AR20120105,  I09S,3.0,1.0,1.0,1.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,    714.7,  -1.8893,  34.5686,2.0,  34.5669,2.0,    313.8,2.0,    314.7,2.0,    75.90,2.0,    30.37,2.0,     2.09,2.0,    96.64,2.0,   -0.180,2.0,    0.000,2.0
72,  09AR20120105,  I09S,4.0,1.0,24.0,24.0,2.0,20120111.0,310.0,-67.1453,145.56,  899,      5.4,  -0.9733,  33.9445,2.0,  33.9512,2.0,    400.6,2.0,    398.6,2.0,    67.60,2.0,    15.18,2.0,     1.30,2.0,    63.88,2.0,   14.533,2.0,  273.900,2.0
73,  09AR20120105,  I09S,4.0,1.0,23.0,23.0,2.0,20120111.0,310.0,-67.1453,145.56,  899,     20.9,  -1.0391,  33.9620,2.0,-999.0000,9.0,    399.3,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    65.16,2.0,   33.368,2.0,    2.851,2.0
74,  09AR20120105,  I09S,4.0,1.0,22.0,22.0,2.0,20120111.0,310.0,-67.1453,145.56,  899,     20.9,  -1.0389,  33.9612,2.0,-999.0000,9.0,    399.3,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    64.99,2.0,   33.910,2.0,    2.996,2.0
75,  09AR20120105,  I09S,4.0,1.0,21.0,21.0,2.0,20120111.0,310.0,-67.1453,145.56,  899,     20.9,  -1.0422,  33.9600,2.0,  33.9600,2.0,    399.3,2.0,    397.0,2.0,    67.60,2.0,    15.41,2.0,     1.38,2.0,    64.94,2.0,   33.957,2.0,    2.943,2.0
76,  09AR20120105,  I09S,4.0,1.0,20.0,20.0,2.0,20120111.0,310.0,-67.1453,145.56,  899,     40.5,  -1.0454,  33.9660,2.0,  33.9673,2.0,    397.5,2.0,    396.0,2.0,    68.20,2.0,    15.46,2.0,     1.33,2.0,    65.11,2.0,   33.557,2.0,    0.000,2.0
