,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,THETA,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W
75,  09AR20030103,   UNK,5.0,1.0,21.0,21.0,2.0,20030115.0,2135.0,-66.7092,64.4725,2221.0,-999.0,    201.0,  -0.8095,  34.4529,2.0,  34.4528,2.0,    267.6,2.0, -0.8157,    267.8,2.0,    71.30,2.0,    30.29,3.0,     2.05,2.0
76,  09AR20030103,   UNK,5.0,1.0,19.0,19.0,2.0,20030115.0,2135.0,-66.7092,64.4725,2221.0,-999.0,    300.9,  -0.4980,  34.5206,2.0,  34.5244,2.0,    259.8,2.0, -0.5082,    258.3,2.0,    76.20,2.0,    30.48,3.0,     2.04,2.0
77,  09AR20030103,   UNK,5.0,1.0,20.0,20.0,2.0,20030115.0,2135.0,-66.7092,64.4725,2221.0,-999.0,    301.0,  -0.4736,  34.5203,2.0,  34.5213,2.0,    259.8,2.0, -0.4838,    258.8,2.0,    75.80,2.0,    30.37,3.0,     2.04,2.0
78,  09AR20030103,   UNK,5.0,1.0,18.0,18.0,2.0,20030115.0,2135.0,-66.7092,64.4725,2221.0,-999.0,    301.1,  -0.4779,  34.5215,2.0,  34.5332,3.0,    259.8,2.0, -0.4881,    258.5,2.0,    76.50,2.0,    30.40,3.0,     2.04,2.0
79,  09AR20030103,   UNK,5.0,1.0,17.0,17.0,2.0,20030115.0,2135.0,-66.7092,64.4725,2221.0,-999.0,    402.1,  -0.2237,  34.5794,2.0,  34.5777,2.0,    263.3,2.0, -0.2386,    250.8,2.0,    80.90,2.0,    30.34,3.0,     2.05,2.0
80,  09AR20030103,   UNK,5.0,1.0,16.0,16.0,2.0,20030115.0,2135.0,-66.7092,64.4725,2221.0,-999.0,    500.3,  -0.4503,  34.5767,2.0,  34.5724,2.0,    255.7,2.0, -0.4683,    262.8,2.0,    79.50,2.0,    29.40,3.0,     2.04,2.0
81,  09AR20030103,   UNK,5.0,1.0,15.0,15.0,2.0,20030115.0,2135.0,-66.7092,64.4725,2221.0,-999.0,    601.1,  -0.3557,  34.6060,2.0,  34.6103,2.0,    240.4,2.0, -0.3784,    253.4,2.0,    86.20,2.0,    29.48,3.0,     2.05,2.0
82,  09AR20030103,   UNK,5.0,1.0,12.0,12.0,2.0,20030115.0,2135.0,-66.7092,64.4725,2221.0,-999.0,    701.8,  -0.0974,  34.6377,2.0,-999.0000,9.0,    240.9,2.0, -0.1260,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
83,  09AR20030103,   UNK,5.0,1.0,13.0,13.0,2.0,20030115.0,2135.0,-66.7092,64.4725,2221.0,-999.0,    702.0,  -0.0891,  34.6387,2.0,-999.0000,9.0,    240.9,2.0, -0.1177,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
84,  09AR20030103,   UNK,5.0,1.0,14.0,14.0,2.0,20030115.0,2135.0,-66.7092,64.4725,2221.0,-999.0,    702.1,  -0.0873,  34.6389,2.0,  34.6368,2.0,    240.9,2.0, -0.1160,    242.8,2.0,    92.40,2.0,    29.87,3.0,     2.05,2.0
