,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NO2+NO3,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA,NO2+NO3_FLAG_W
35,09AR20011029, SR03,8.0,1.0,13.0,13.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,     76.9,  13.2550,  35.3270,2.0,  35.3290,2.0,    257.6,2.0,    257.5,2.0,     2.00,2.0,     4.66,2.0,     4.66,     0.34,2.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,  13.2470,2.0
36,09AR20011029, SR03,8.0,1.0,11.0,11.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,     90.8,  13.2570,  35.3280,2.0,  35.3290,2.0,    254.1,2.0,    257.2,2.0,     2.00,2.0,     4.65,2.0,     4.65,     0.35,2.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   2078.2,2.0,   2321.1,2.0,  13.2480,2.0
37,09AR20011029, SR03,8.0,1.0,12.0,12.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,     91.2,  13.2540,  35.3280,4.0, -999.0000,9.0,    252.9,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,  -999.00,9.0,    3.168,3.0,    1.839,3.0,    0.970,4.0,   -999.0,9.0,   -999.0,9.0,  13.2440,9.0
38,09AR20011029, SR03,8.0,1.0,10.0,10.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,    106.2,  13.2490,  35.3240,4.0, -999.0000,9.0,    257.7,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,  -999.00,9.0,    3.188,3.0,    1.836,3.0,    0.950,4.0,   -999.0,9.0,   -999.0,9.0,  13.2370,9.0
39,09AR20011029, SR03,8.0,1.0,9.0,9.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,    106.5,  13.2480,  35.3250,4.0,  35.3270,2.0,    257.7,2.0,    257.2,2.0,     1.90,2.0,     4.71,2.0,     4.71,     0.34,2.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,  13.2360,2.0
40,09AR20011029, SR03,8.0,1.0,8.0,8.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,    120.5,  13.1450,  35.3090,2.0, -999.0000,9.0,    257.3,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,  -999.00,9.0,    3.197,3.0,    1.864,3.0,    0.950,4.0,   2080.7,2.0,   2318.9,2.0,  13.1310,9.0
41,09AR20011029, SR03,8.0,1.0,7.0,7.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,    120.6,  13.1600,  35.3110,2.0,  35.3120,2.0,    257.3,2.0,    255.4,2.0,     2.00,2.0,     4.98,2.0,     4.98,     0.37,2.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,  13.1460,2.0
42,09AR20011029, SR03,8.0,1.0,5.0,5.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,    150.0,  12.5380,  35.2190,4.0,  35.2270,2.0,    247.8,2.0,    247.6,2.0,     2.30,2.0,     7.18,2.0,     7.18,     0.50,2.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   2093.0,2.0,   2316.1,2.0,  12.5210,2.0
43,09AR20011029, SR03,8.0,1.0,6.0,6.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,    150.4,  12.5790,  35.2250,4.0, -999.0000,9.0,    247.8,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,  -999.00,9.0,    3.217,3.0,    1.833,3.0,    0.750,4.0,   -999.0,9.0,   -999.0,9.0,  12.5620,9.0
44,09AR20011029, SR03,8.0,1.0,4.0,4.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,    201.2,  12.3770,  35.2190,2.0,  35.2180,2.0,    257.9,2.0,    255.3,2.0,     2.30,2.0,     7.06,2.0,     7.06,     0.48,2.0,    3.267,3.0,    1.868,3.0,    0.870,4.0,   2091.8,2.0,   2315.9,2.0,  12.3530,2.0
